Unnamed: 0,title,address,price,land_area,road_access,Facing,parking,bedroom,bathroom,floor
42,"2.5 Storey House on sale at Basundhara, EKATA COLONY. Soldout","Basundhara,Dhapasi,Kathmandu","NPR 25,500,000",3 Aana 1 Paisa 2 Dam,13 feet,North/West,,3.0,2.5,5.0
43,"Commercial 5 storey HOUSE ON SALE at Lagankhel, Tangal. Soldout","Tangal,Lagankhel,Lalitpur","NPR 70,000,000",3 Paisa 1 Dam,22 ft,East,,5.0,,
44,Residential House located at Nainatole FOR SALE,"Nainatole, Tokha Municipality,Dhapasi,Kathmandu","NPR 42,000,000",7 aana 2 Paisa,13 feet,North/East,,6.0,2.5,3.0
45,Bishalnagar residing Bunglow at Sale Soldout,"Milap marga,Bishalnagar,Kathmandu","NPR 55,000,000",6 Aana 1 Paisa,14 Ft.,East,,5.0,2.5,4.0
46,Semi Furnished Home for Sale at Hattiban - 28 Soldout,"Hattiban - 28,Hattiban,Lalitpur","NPR 27,000,000",,,,,,,
47,5 BHK House is on Sale near Hattiban Soldout,"Hattiban - 28,Hattiban,Lalitpur","NPR 29,000,000",6 Aana 2 Paisa,22 feet,North,,5.0,2.5,3.0
48,"Residential 2.5 storied 4 BHK House ""FOR SALE"" at Saibu-18","Saibu,Bhaisepati,Lalitpur","NPR 30,000,000",4 Aana,15 ft,North,,4.0,2.5,3.0
49,Residential Building For Sale,"Nainatole,Dhapasi,Kathmandu","NPR 60,000,000",10 Aana 2 Paisa,22 feet,North East,,5.0,2.5,4.0
50,Beautiful House is on Sale at Gothatar. Soldout,"Kageshwori Manohara Municipality-08,Gothatar,Kathmandu","NPR 35,000,000",4 Aana,32 feet,East,,10.0,3.5,5.0
51,2.5 Storied Building for Sale Soldout,"Kageshwori Municipality-9,Gothatar,Kathmandu","NPR 26,000,000",4 Aana,26 feet,West,,5.0,2.5,6.0
52,Kalanki Sunargaun located Home For Sale Soldout,"Sunar gaun,Kalanki,Kathmandu","NPR 27,000,000",5 Aana,8 ft to 12 ft (front),North,,13.0,3.5,5.0
53,Banglow For Sale at Bishalnagar Soldout,"Sadikshya Marga- 4,Bishalnagar,Kathmandu","NPR 35,000,000",8 Aana,16 Ft. & 14 ft,East,,5.0,3.5,5.0
54,A Beautiful Banglow located at Bishalnagar is on SALE!!!,"Haadigaun Marg,Bishalnagar,Kathmandu","NPR 130,000,000",10 Aana,14 ft.,South-West,,4.0,2.5,10.0
55,4 BHK House For Sale in Sanepa Soldout,"Sanepa,Balkhu,Lalitpur","NPR 28,000,000",3.5 Aana,20 ft,East,,4.0,2.5,1.0
56,Modern Home for Sale in Bhaisepati nearby Medicity Hospital,"Sainbu-18,Bhaisepati,Lalitpur","NPR 60,000,000",8 Aana,12 feet,North,,2.5,,
57,Attractive Home For Sale in Hepali height Soldout,"Hepali height,Budhanilkantha,Kathmandu","NPR 60,000,000",16 Aana 1 Dam,20 ft.,East,,5.0,2.5,1.0
58,2.5 Storey House Built On 4 aana Is On SALE Located At Hattigauda . Soldout,"Ganesh Chowk,Hattigauda,Kathmandu","NPR 26,000,000",4 Aana,14 ft road,East,1.0,6.0,4.0,2.5
