price,AD ID,Location,Delivery,Negotiable,Ads Posted,Ads Expiry,Type,Living Room,Floor,Bathroom,Bedroom,Road Type,Features,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Furnishing,Kitchen,Road Size,url,Land Mark,Used For
"रू. 6,90,00,000",HB-2706848,Kathmandu > Chapali (Budhanilkantha),Not Available,Not Negotiable,2 years ago,2023-08-11,,1,2.5,4,3,Pitched,"2, 3, 5, Garden, Parking Space, Servant Quarter",14,,,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/14-ana-land-on-sale-in-chapali-in-kathmandu/8aa0d8d76a674f3c8bffa2de892cf8a0,Chapali bhudanilkantha,
"रू. 6,00,00,000",HB-53926C,"Sanepa, Lalitpur",Not Available,Not Negotiable,1 months ago,2023-07-02,HouseIndividual,1,2.5,1,1,Pitched,,0-5-0-0,1,Full,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-sanepa-in-lalitpur/53926c1727c34c44b8e1e1c51664add8,,
"रू. 1,80,00,000",HB-B3A74A,"Chaitya restaurant, Kirtipur Ring Road, Man-dah-phal-cha, Nagaon, Kirtipur, Kathmandu",Not Available,Negotiable,8 months ago,2023-10-15,House - Individual,2,3,3,3,Pitched,,3,990,Non,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/b3a74a2f036f490cb629203ceec01bb4,,Personal use
"रू. 2,50,00,000",HB-18CBFC,"Imadol (Mahalaxmi), Lalitpur",Not Available,Not Negotiable,4 months ago,2023-06-15,HouseIndividual,1,2.5,3,4,Others,,0-3-2-0,1000,Non,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-ochu-height-imadol-in-lalitpur/18cbfc27e86e476fbf86c671d944c3b9,,
"रू. 2,65,00,000",HB-3745DE,"Imadol-Hattiban Road, Sitapakha, Imadol, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44705, Nepal",Not Available,Not Negotiable,4 months ago,2080-12-12,HouseIndividual,2,2.5,4,5,Pitched,,4 anna,3 anna,Semi,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/nakkhipot-house-in-lalitpur/3745deae2ac44d5abc720609e7e3f16f,,
"रू. 4,30,00,000",HB-35ACC8,"Gamcha (Ananta), Bhaktapur",Not Available,Not Negotiable,6 months ago,2024-12-12,HouseInColony,1,2.5,4,5,Pitched,,7 A,0,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/brand-new-house-on-sale-at-gamcha-bhaktapur-in-bhaktapur/35acc8e5eaf5425298b15fecadee9ce1,,
"रू. 6,35,00,000",HB-11C015,"Sanepa, Lalitpur",Not Available,Negotiable,1 months ago,2027-03-01,Bunglow,2,2.5,6,5,Pitched,,5 Aana,1,Non,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/brand-new-house-for-sale-at-sanepa-lalitpur-in-lalitpur/11c015e98165444bacd0d434f0a43f63,Sanepa,
"रू. 8,50,00,000",HB-2867612,Kathmandu > Narayanthan (Budhanilkantha),Not Available,Negotiable,2 years ago,2023-07-31,,2,3.5,4,4,Pitched,"2, 3, 6, Garden, Parking Space, Security Guards",10 A,3400,Semi,,Above 20 feet,https://hamrobazaar.com/for-sale-house/amazing-bungalow-in-budhanilakantha-for-sale-in-kathmandu/1da74347ae184c30ac0e96c971e4d156,Near taulung school Ward no. 1,2 years
"रू. 8,75,00,000",HB-F60803,"Bhat Bhateni Naxal Handigaun Gairidhara , Tangal Area, Kathmandu",Not Available,Negotiable,6 months ago,2023-06-30,HouseIndividual,2,2.5,4,4,Pitched,,9.75,2700,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-bhatbhotani-dhalko-in-kathmandu/f6080376edec40b9a056050d839b4062,,
"रू. 3,80,00,000",HB-4667CA,"Gothatar (Kageshwor), Kathmandu",Not Available,Not Negotiable,10 months ago,2023-06-28,House - Individual,4,4,5,8,Pitched,,4,3500,Non,4,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-gothatar-in-kathmandu/4667ca3e45bf43bb9956470a42b2c6b5,gandhi school near,
"रू. 13,00,00,000",HB-B5B6CF,"Dhapasi (Tokha), Kathmandu",Available,Negotiable,10 months ago,2023-07-31,Bunglow,4,2,8,4,Pitched,,14.5,0,Semi,2,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/bunglow-on-sale-at-dhapasi-in-kathmandu/b5b6cfef3df04ffeb83967259a179376,,
"रू. 12,50,00,000",HB-84F83A,"Chundevi (Maharajgunj), Kathmandu",Not Available,Negotiable,23 days ago,2023-07-06,HouseIndividual,1,2.5,3,4,Pitched,,10 aana,0,Non,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-maharajgunj-kanti-in-kathmandu/84f83a6c5df94609acca2528a40c5f09,,
"रू. 1,65,00,000",HB-3014253,Kathmandu > Khadka Bhadrakali (Budhanilkantha),Not Available,Negotiable,1 years ago,2023-12-10,,1,1,3,2,Pitched,Parking Space,5,,Non,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-budhanilkantha-ganesh-chowk-in-kathmandu/daca52ae3de84721ad0d7d961a359b65,Budhanilkantha Ganesh school,
"रू. 11,50,00,000",HB-B8CC89,"Narayanthan (Budhanilkantha) , budanilkantha",Available,Not Negotiable,1 years ago,2023-09-17,House - Individual,,,,,Pitched,,8aana,,,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/beautiful-house-on-sale-at-rudreshwor-narayanthan-in-nepal/b8cc89511bc8406184100ba80eede54b,,
"रू. 1,80,00,000",HB-AEE8B9,खड्कागाउँ,Not Available,Negotiable,4 days ago,2023-06-19,House - Individual,1,1,1,3,Pitched,,4,0,Non,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-pasikot-budhanilkantha-in-nepal/aee8b99023124ea2bf89fdd03a5c6e27,,
"रू. 2,60,00,000",HB-3DD0D0,"थानकोट, Chandragiri, चन्द्रागिरी नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",Not Available,Not Negotiable,1 months ago,2023-06-15,,,,,,,,,,,,,https://hamrobazaar.com/for-sale-house/urgent-thankot-chandragiri-near-3-oda-no-office-in-nepal/3dd0d05844204b40a7ec3d1ccc550c2b,,
"रू. 3,50,00,000",HB-9AFAF6,"SHARAN HATS AND GARMEMT EXPORT INDUSTRIES, Khushibu Bishnumati Kinaar Right, Dallu, Chamati, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 20356, Nepal",Not Available,Negotiable,3 months ago,2023-06-30,HouseIndividual,2,3.5,2,4,Pitched,,3.2,NA,Non,1,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-chamati-town-planning-350-cr-in-kathmandu/9afaf6b4747141d4b5db2be1868952fc,,
"रू. 13,00,00,000",HB-2988444,Kathmandu > Battisputali (Old Baneshwor),Not Available,Not Negotiable,1 years ago,2023-07-23,,,,,,Pitched,,11,,,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/11-aana-wid-house-at-battisputali-on-sale-in-kathmandu/bf9832f254b444ba85e5a1580cf58f8e,Few mtr away frm petrol pump. Cksnareshsuwcks,
