price,AD ID,Location,Delivery,Negotiable,Ads Posted,Ads Expiry,Type,Living Room,Floor,Bathroom,Bedroom,Road Type,Features,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Furnishing,Kitchen,Road Size,url,Land Mark,Used For
"रू. 1,40,00,000",HB-FD4B17,"budanilkantha, Pasikot (Budhanilkantha), Kathmandu",Available,Not Negotiable,12 months ago,2023-12-10,House - Individual,,2,,,Gravel,,3.2,,,,5 - 8 Ft.,https://hamrobazaar.com/for-sale-house/32-ana-house-for-sale-at-budhanilkantha-pasikot-in-kathmandu/fd4b176192a04655bfc424fca41d1d46,,
"रू. 3,40,00,000",HB-0FE7B3,"Sawane Mul Marg, NAST research centre, Satdobato",Available,Negotiable,6 months ago,2023-06-15,House - Individual,4,5,6,14,Pitched,,3,2000,Semi,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/beautiful-house-on-sale-satdobato-swimming-pool-in-nepal/0fe7b35ce3684a4bbfab85bc38db1984,,
"रू. 2,65,00,000",HB-CFD79D,"Thulo Bharyang, Kathmandu",Not Available,Not Negotiable,4 months ago,2023-06-21,HouseIndividual,1,2.5,1,1,Pitched,,0-3-0-0,1000,Full,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-thulo-bharyang-in-kathmandu/cfd79d6de0a049a882ca3c08ab0160e5,,
"रू. 1,75,00,000",HB-3BFFD1,"Lubhu (Mahalaxmi), Lalitpur",Not Available,Negotiable,1 months ago,2024-09-06,HouseIndividual,1,G+1,2,3,Gravel,,4,less than 1000,Non,1,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-or-exchange-with-lands-in-lubhu-in-lalitpur/3bffd1c696154e52b77ab06af14eec30,"Chasidol, Lubhu, Lalitpur",Own purpose
"रू. 1,80,00,000",HB-C74EC0,"Pepsicola (Kadaghari), Kathmandu",Available,Not Negotiable,8 months ago,2023-12-19,House - Individual,0,2.5,3,4,Pitched,,2.2,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-harhar-mahadev-near-nepal-transport-in-kathmandu/c74ec011b170467b803d01c228433381,,
"रू. 99,99,999",HB-649D19,"Chandragiri Cable Car Base Station, Chandragiri, Nepal",Not Available,Negotiable,1 years ago,2023-06-30,House - Individual,1,1.5,1,1,Pitched,shutter,2.5,885.63,Non,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/in-nepal/649d19f53f914e039c483df85c7b4dd9,,2 yrs
"रू. 2,25,00,000",HB-2934530,Lalitpur > Imadol (Mahalaxmi),Not Available,Not Negotiable,2 years ago,2025-06-05,,2,3.5,5,7,Soil (Mato),"3, Parking Space",3.1A,,Non,,Less than 5 feet,https://hamrobazaar.com/for-sale-house/newly-built-beautiful-strong-house-on-sale-in-lalitpur/3c65a40ee9c04cbf929dc328bcc1d792,"Imadol, Mahalaxmi, Lalitpur",1year
"रू. 1,10,00,000",HB-DEA9A6,"Thamel, Kathmandu",Not Available,Negotiable,11 days ago,2023-09-01,HouseIndividual,1,5,3,3,Pitched,,0.22,213,Semi,1,FiveToEightFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-thamel-near-chhaya-center-in-kathmandu/dea9a6a81b984679b35ccf9ba608b6d6,,
"रू. 4,60,00,000",HB-7A90C6,"Kenji International School, Subidha Marg, Mahadevasthan, Subidhanagar, Kathmandu, Kathmandu Metropolitan City, Kathmandu",Not Available,Negotiable,23 days ago,2023-06-24,House - Individual,2,4,4,7,Pitched,Subidha sampana,4,3500,Semi,2,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/realstate-in-kathmandu/7a90c65468db43e0ad3562b5c43865b8,,Used
"रू. 13,50,00,000",HB-F1D874,"purano baneshwar old baneshwor, Purano Baneshwor (Old Baneshwor), Kathmandu",Not Available,Not Negotiable,4 months ago,2023-07-31,HouseIndividual,O,2.5,O,O,Pitched,O,12,O,Full,O,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/baneshwor-banglow-for-sale-in-kathmandu/f1d8743580e54ee88836de35851467a8,Old baneshwor chok,O
"रू. 5,50,00,000",HB-2714798,Kathmandu > Baluwatar,Not Available,Not Negotiable,2 years ago,2023-10-28,,,2.5,,,Pitched,,5,,,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/5-aana-two-side-road-baluwatar-house-open-all-side-in-kathmandu/7024022bd36640ba94e8c5c4f0bf4867,Few MTR from big mart baluwatar Cksmohancks,
"रू. 4,50,00,000",HB-8E2946,"Narayan Gopal Chowk, Basundhara",Not Available,Negotiable,9 months ago,2025-11-30,House - Individual,3,3,4,4,Pitched,All,5,1800,Semi,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/43-in-nepal/8e29462082cf4eda95ef85ad9a421b68,,
"रू. 3,95,00,000",HB-1BC8F3,Imadol,Not Available,Negotiable,7 months ago,2023-06-24,House In a Colony,2,3,3,4,Pitched,rich family n good family,4,2000,Semi,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-rajkulo-beatiful-house-on-sale-in-nepal/1bc8f30974dc440ca1fffe27834c84cb,imadol rajkulo,stay
"रू. 3,50,00,000",HB-DE0804,Imadol,Not Available,Negotiable,9 months ago,2024-12-31,House - Individual,2,3,4,5,Soil (Mato),,4,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-gwarko-kist-hospital-najeek-in-nepal/de0804497c35448bb894f3ba7b5629fe,,
"रू. 3,15,00,000",HB-7E05B6,Imadol,Not Available,Negotiable,6 months ago,2030-01-30,House - Individual,2,3,4,5,Soil (Mato),,0313,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-shital-height-tampo-park-in-nepal/7e05b6db726b48478e295fd31c9875ea,,
"रू. 1,65,00,000",HB-355A92,"Kathmandu, Bagmati Pradesh, Nepal",Not Available,Negotiable,9 days ago,2023-07-31,HouseIndividual,1,1 Floor,1,2,Gravel,,3 Anna,1050 sqr.ft,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/sale-urgent-house-in-new-naikap-kathmandu-in-kathmandu/355a92ff4fa34eecab3547fe837afd89,,
"रू. 2,55,00,000",HB-D944E9,Imadol,Not Available,Negotiable,6 months ago,2023-10-31,House - Individual,3,4,4,3,Pitched,,3,1065,Semi,4,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-imadol-in-nepal/d944e9c220614bcc964ace25bda28ebc,near krishna mandir,
"रू. 82,00,000",HB-FD2B5B,"Basantapur Area, Kathmandu",Not Available,Not Negotiable,10 months ago,2023-08-19,Others,5,5,2,non,Pitched,All good condition,3paiaa.,60ft,Full,3,5 - 8 Ft.,https://hamrobazaar.com/for-sale-house/in-kathmandu/fd2b5bccf9de425cbc55ac90055ce786,,long time
"रू. 2,75,00,000",HB-979F7B,"Bhaktapur City, Bhaktapur",Available,Negotiable,10 months ago,2023-07-30,House - Individual,1,2.5,3,3,Pitched,,5,925,Non,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-bhaktapur-in-bhaktapur/979f7b9e78f84a8d91d748a998aaaa3a,,
