,price,AD ID,Location,Delivery,Negotiable,Ads Posted,Ads Expiry,Type,Living Room,Floor,Bathroom,Bedroom,Road Type,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Furnishing,Kitchen,Road Size,url,Used For,Land Mark,Features
215,"रू. 2,20,00,000",HB-1E77CE,"Sitapaila chwok, सितापाइला मार्ग, Nagarjun, Nepal",Not Available,Negotiable,1 years ago,2024-10-31,House - Individual,1,2.5,3,5,Pitched,3.67,1600,Non,1,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/sale-of-home-in-nepal/1e77ce4aa8864ffab12425584649c633,2.5,,
216,"रू. 3,25,00,000",HB-B5D9DA,Imadol,Not Available,Negotiable,9 months ago,2024-12-31,House - Individual,2,3,4,5,Soil (Mato),0320,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-shital-height-new-millennium-school-in-nepal/b5d9da74f15f436cbe3be94b3ff7c806,,,
217,"रू. 1,90,00,000",HB-84673F,Katunje,Not Available,Negotiable,4 months ago,2024-12-31,House - Individual,2,2,2,7,Pitched,32,3,Non,2,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-bhaktpur-in-nepal/84673fcd300744dd9db1b71b86fbae83,,Bhaktpur,
218,"रू. 6,50,00,000",HB-56B729,"Shree Binayak Tole, Tokha, काठमाडौं, Bagmati Pradesh, नेपाल",Not Available,Negotiable,9 months ago,2023-12-31,House - Individual,3,3,6,7,Pitched,8,1900,Semi,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/35-in-nepal/56b7296112c8438389034117cfbddf08,,,All
219,"रू. 15,00,00,000",HB-7A4DAF,"vasundhara, Basundhara, Kathmandu",Not Available,Not Negotiable,15 days ago,2023-07-01,HouseSemiCommercial,2,2.5,3,5,Pitched,19,1,Non,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/19-aana-land-with-old-house-at-basundhara-in-kathmandu/7a4daf007790417db2254016c7ea423e,,,
220,"रू. 4,20,00,000",HB-98E648,Khadkagaon,Not Available,Negotiable,11 months ago,2023-08-31,House - Individual,2,2.75,5,6,Pitched,5,1369,Semi,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-semi-bunglo-chapali-in-nepal/98e648d0573947a7a7dc08b466c0c2ce,Not used,,"parking, 24 hr water"
221,"रू. 1,70,00,000",HB-0F64CB,Banepa,Available,Negotiable,1 years ago,2023-12-01,House - Individual,,3.5,,,Pitched,3 Aana,,Non,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-banepa-kavre-in-nepal/0f64cba629484c0dbc0052e7019337b6,,,
222,"रू. 3,00,00,000",HB-B66602,Khadkagaon,Not Available,Negotiable,11 months ago,2023-08-31,House - Individual,2,2.75,5,6,Gravel,0-4-0-3,1300,Non,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-pasikot-budhanilkantha-in-nepal/b66602436ca042c284209f93f43f6173,,,"parking, 24 hr water , peaceful"
223,"रू. 2,90,00,000",HB-D9175B,"Kageshwori Manohara, Kageshwori Manohara Municipality, Kathmandu, Bagmati Pradesh, 20187, Nepal",Not Available,Negotiable,2 months ago,2023-08-31,HouseIndividual,3,3.5,4,6,Pitched,5,2612.47,Semi,3,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-jorpati-mulpani-shiva-chok-in-kathmandu/d9175b7abddf480a840f0835bbece970,,Shiva chok,
224,"रू. 4,50,00,000",HB-AA9160,Imadol,Not Available,Negotiable,3 months ago,2029-04-23,House - Individual,2,3,5,6,Soil (Mato),0630,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-ochu-height-3d-art-gallery-in-nepal/aa91607db5a8417c86972cb39f4e3b1b,,,
225,"रू. 3,30,00,000",HB-0685B0,"Miteri Marg, Makalbari, Gokarneshwor, Namgyal, Gokarneshwar Municipality, Kathmandu, Bagmati Pradesh, 89977, Nepal",Not Available,Not Negotiable,1 days ago,2023-07-13,Bunglow,1,1,2,3,Pitched,8,3000,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/8-aana-land-with-semi-buanglow-for-sale-makalbari-in-kathmandu/0685b0f4422971d4cd05b47140acfd5b,,,
226,"रू. 17,50,00,000",HB-2976840,Kathmandu > Hattigaunda (Budhanilkantha),Not Available,Negotiable,1 years ago,2023-08-31,,1,2.5,4,5,Pitched,16.5,3200,Non,,Above 20 feet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-hattigauda-in-kathmandu/9e48b4cf8de848c78a896562da8f1bea,10 year,Hattigauda.,"2, 3, 4, 5, Garden, Parking Space, Garage, Servant Quarter"
227,"रू. 8,50,00,000",HB-5FC81E,"budanilkantha, Budhanilkantha, Kathmandu",Not Available,Negotiable,2 months ago,2023-06-22,HouseIndividual,2,2.5,5,6,Pitched,15 ana,0,Non,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-sale-budhanilkantha-in-kathmandu/5fc81eabc72840608f2c4f6f5bbe3238,,,
228,"रू. 3,50,00,000",HB-D55CC0,"Sukedhara, Kathmandu",Not Available,Not Negotiable,26 days ago,2023-08-24,HouseIndividual,1,2.5,1,1,Pitched,4,1,Non,1,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-sukedhara-kathmandu-in-kathmandu/d55cc05bc8334aa39e65417c94b639f5,,,
229,"रू. 4,35,00,000",HB-2152596,Kathmandu > Chandol,Not Available,Not Negotiable,3 years ago,2023-09-14,,,2.5,,,Pitched,5.3,,,,9 to 12 feet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-chandol-code-no-gjbhos-2758-in-kathmandu/16cd0f512c2140009facba3a3f1a318d,,http://gharjaggabazar.com/sale/Chandol/6240/2/,"3, Parking Space"
230,"रू. 17,00,00,000",HB-B76BFE,"Naxal, Kathmandu",Not Available,Not Negotiable,1 months ago,2024-12-31,HouseIndividual,.,.,.,.,Pitched,17anna,.,Non,.,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-naxal-naag-pokhari-in-kathmandu/b76bfe458e834ba1ae0cce24c44b549d,,,
231,"रू. 3,25,00,000",HB-E7007C,"Nagarjun, काठमाडौं, Bagmati Pradesh, नेपाल",Not Available,Not Negotiable,5 months ago,2023-06-17,,,,,,,,,,,,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/e7007c0df77440d18fba093d8e4802bd,,,
232,"रू. 8,00,00,000",HB-C12D4F,"Baluwatar, Kathmandu",Not Available,Not Negotiable,4 months ago,2023-07-31,HouseIndividual,1,2,3,3,Pitched,10Ann,1500,Non,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-kathmandu/c12d4f550065495ea2008a80429b8e1c,,10Ann,Good
233,"रू. 6,50,00,000",HB-2448012,Kathmandu > Purano Baneshwor (Old Baneshwor),Not Available,Not Negotiable,3 years ago,2023-07-29,,,3,,,Pitched,5.2,,,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/52-baneshwor-flat-style-house-with-east-face-road-in-kathmandu/67b1b7c86c2a4568b180f12292999829,,Sangam chowk. Between old new baneshwor,
234,"रू. 6,50,00,000",HB-3035643,Kathmandu > Budhanilkantha,Not Available,Not Negotiable,1 years ago,2023-07-26,,,3,,,Gravel,7.5,4000,,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/ganesh-school-narayathan-75-aana-vvip-beautiful-h-in-kathmandu/a3a15ba919274419ab92c2cc1221a707,,"Ganesh school , budhanilkantha ktm",
235,"रू. 1,10,00,000",HB-247DBD,"All Core Kathmandu, Kathmandu",Not Available,Not Negotiable,16 days ago,2023-06-29,HouseIndividual,2,3,4,6,Pitched,10,,Full,2,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-kalopul-kathmandu-in-kathmandu/247dbd5412084d26bdd14a6c8114874a,home,near NIC asia bank,garden
236,"रू. 2,15,00,000",HB-6A509A,"Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",Available,Negotiable,9 months ago,2025-03-01,House - Individual,2,2.5,2,3,Gravel,3,1400,Non,2,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-sanagaun-in-lalitpur/6a509a8676c34b08af55c281076dbb5b,,"Sanogaun, Gwarkhu Highhway","Spacious Parking, Attached Bathrooms, East Faced"
237,"रू. 2,65,00,000",HB-8768D8,Imadol,Not Available,Negotiable,9 months ago,2024-02-29,House - Individual,2,0,4,4,Soil (Mato),0310,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-kamalpokhari-highway-najeek-in-nepal/8768d85d084e405d85a9ff7dc9d2ca53,,,
238,"रू. 2,25,00,000",HB-C15C15,"Tokha Saraswati (Tokha), Kathmandu",Not Available,Not Negotiable,3 days ago,2023-06-27,HouseIndividual,2,2.5,3,4,Pitched,3,1,Non,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-tokha-saibaba-school-near-in-kathmandu/c15c15e3f4e24c1d891a6804ecb8f3aa,,,
239,"रू. 1,60,00,000",HB-916B21,"Thapathali Marg, Thapathali",Not Available,Not Negotiable,6 months ago,2028-01-30,House - Individual,1,1,1,2,Gravel,3,800,Non,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/1-talle-house-for-sale-at-tikathali-5-near-sofa-in-nepal/916b218d398847889a03c6031f655b87,residential,Sofa karkhana,Sunny Enough for smal budget family
240,"रू. 3,85,00,000",HB-896FE3,खड्कागाउँ,Not Available,Negotiable,6 days ago,2024-02-29,Bunglow,2,3,5,4,Pitched,5,2300,Semi,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/5-ana-neoclassic-man-b-marga-in-nepal/896fe3f12b854d67b84124a5ac1560fe,family,man b marga,parking
241,"रू. 6,50,00,000",HB-97764B,"Baluwatar, Kathmandu",Not Available,Not Negotiable,8 days ago,2023-07-07,HouseIndividual,3,2.5,5,6,Pitched,6ann,3000,Semi,3,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/97764bbbd98f4fe0bb8ce090abb79a45,,,Good
242,"रू. 7,50,00,000",HB-70C740,"Precious National Academy Higher Secondary School, Nirmal Lama Marg, Lut Chok, Balaju, Kathmandu",Not Available,Negotiable,1 years ago,2024-03-28,House - Individual,,,,,Pitched,0-8-0-0,,,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/mehpi-ma-8-aana-ma-baneko-ghar-bikrima-in-kathmandu/70c7405fd09b419d82f53a2d85cd6d38,,,
243,"रू. 2,95,00,000",HB-DA2334,"Changathali (Mahalaxmi) ,",Available,Negotiable,1 years ago,2023-12-03,House In a Colony,2,,3,3,Pitched,0-3-2-1,,Full,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-inside-colony-on-sale-in-nepal/da2334140c514caa8e49f89500ea8d90,,,
244,"रू. 2,10,00,000",HB-E4D395,इमाडोल,Not Available,Negotiable,10 days ago,2023-07-05,House - Individual,1,1,1,1,Gravel,3,1,Non,1,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-bojepokhari-in-nepal/e4d395df6d794f16b8d8953bd0a7e56f,,,
245,"रू. 2,70,00,000",HB-A43FB3,"Imadol, Khadkatol, Khadkagau, Mahalaxmi Municipality, Lalitpur, Bagmati Pradesh, Nepal",Not Available,Negotiable,8 days ago,2023-07-07,HouseIndividual,2,2.5,4,4,Pitched,0-3-2-0,0,Semi,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-lalitpur/a43fb30cbe0140f3ab917358adc7bcf0,residential,"naya basti, imadol",west facing
246,"रू. 1,95,00,000",HB-DC72F4,"Sankalpa Chowk, Bharatpur, Chitwan",Not Available,Not Negotiable,11 months ago,2025-05-06,House - Individual,2,3,3,5,Pitched,20,1200,Semi,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-chitwan/dc72f4350a094780a51ce3cecc7460c5,,,
247,"रू. 1,50,00,000",HB-9E333E,"Tikapur, Kailali",Not Available,Not Negotiable,15 days ago,2023-06-16,HouseIndividual,1,2.5,3,6,Gravel,20 Dur,1000,Full,1,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-tikapur-kailali-in-kailali/9e333ef867ac4375aa0f26c121b501ba,1 year,,
248,"रू. 10,50,00,000",HB-2185340,Kathmandu > Budhanilkantha,Not Available,Not Negotiable,3 years ago,2023-07-25,,,2,4,5,,26,,,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/sale-bungalow-house-in-budhanilkantha-in-kathmandu/6f7d07986b0f4ae59c836dc00de2fb65,,,"2, 3, 4, 5, Garden, Parking Space, Garage, Servant Quarter"
249,"रू. 6,80,00,000",HB-B09E6A,"dumbarahi, Dhumbarahi, Kathmandu",Available,Not Negotiable,10 months ago,2023-12-28,House - Individual,3,2.5,2,6,Pitched,6.2,1381,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-dhumbarahi-in-bara/b09e6ab1a61248c49bedd12c27a63afb,,,
250,"रू. 3,00,00,000",HB-81CA5C,"Imadol (Mahalaxmi), Lalitpur",Not Available,Negotiable,5 months ago,2023-06-30,HouseIndividual,1,2.5,3,7,Pitched,0-4-0-0,1200,Full,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-ochu-height-imadol-in-lalitpur/81ca5c7db8b64bd28e79e2f0236a7953,,,
251,"रू. 3,55,00,000",HB-50C740,"hadigaun hadigaon, Handigaun, Kathmandu",Not Available,Not Negotiable,6 days ago,2024-08-28,HouseIndividual,3,2.5,3,6,Gravel,0-4-1-3,2345,Full,3,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-kalopool-in-kathmandu/50c7407a65a04bfd9828f6f4098dd356,,,
252,"रू. 4,10,00,000",HB-35417E,"Madhyapur Thimi, Bhaktapur",Not Available,Negotiable,22 days ago,2023-07-23,HouseIndividual,3,3.5,6(2 Attached),6,Pitched,4 Aana 5 Paisa,,Full,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-madhyapur-thimi-bkt-in-bhaktapur/35417e112c9b42c7bba0cef5f10ecf28,,Near Nepal Electricity Authority,"Located At Peaceful & Prime Area with Puja , Store , Bar , Balcony, Washing rooms & Parking available."
253,"रू. 1,99,00,009",HB-1631180,Makwanpur (Hetauda) > Hetauda (Other Area),Not Available,Negotiable,4 years ago,2025-02-18,,4,3,3,15,,15 d,12,Full,,9 to 12 feet,https://hamrobazaar.com/for-sale-house/house-sell-on-hetauda-in-makwanpur/276259f36572430b9bf6cc315092b123,15 year,Faristy gate,"3, Parking Space"
254,"रू. 2,45,00,000",HB-6CBFBC,Nakhipot >,Available,Not Negotiable,1 years ago,2024-09-24,House - Individual,,3,,,Pitched,3.5,,,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/modern-house-in-sale-kantipur-colony-nakhipot-in-nepal/6cbfbcb1df1449c6afe8ad52436049f7,,,
255,"रू. 14,00,00,000",HB-D56825,"Sinamangal, Kathmandu",Not Available,Negotiable,1 months ago,2023-08-31,HouseIndividual,2,2.5,5,7,Pitched,14 aana,4791,Non,2,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/25-storey-building-on-sale-at-sinamangalkathmand-in-kathmandu/d5682503139b44efb1b583ae853d28b0,,,
256,"रू. 2,75,00,000",HB-E4E324,"Taukhel (Godawari), Lalitpur",Not Available,Negotiable,11 days ago,2023-07-04,HouseIndividual,2,2.5,4,5,Pitched,4.2,.,Semi,2,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-taukhel-in-lalitpur/e4e32416e10146d8bad1396e5d1703f2,,,
257,"रू. 5,50,00,000",HB-2957553,Kathmandu > Sitapaila (Nagarjun),Not Available,Negotiable,2 years ago,2024-01-16,,1,2.5,,5,Pitched,9,,Non,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/bangalow-sale-at-sitapaila-saranpur-in-kathmandu/4f583d5f9b6343efa3b5b9f3e30aa7f8,,1 km outside from sitapaila ringroad,"2, 3, 5, Garden, Parking Space, Servant Quarter"
258,"रू. 2,70,00,000",HB-DA68EA,"Mulpani Pipalbot, Kageshwari-Manohara, Kageshwori Manohara, Kathmandu",Not Available,Negotiable,7 months ago,2024-01-14,House - Individual,2,3,3,4,Gravel,4,127,Semi,2,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/urgent-house-for-sale-in-kathmandu/da68ea69ad2341839485b73bd7a5c3d6,New,New,
259,"रू. 6,74,00,000",HB-5DD995,"Ramkot (Nagarjun), Kathmandu",Not Available,Negotiable,24 days ago,2023-07-16,Others,1,2,3,4,Pitched,10 Aana-2 Paisa- 3.91 Daam,1860,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/premium-house-on-sale-at-ramkot-kathmandu-in-kathmandu/5dd995f3fd6e460fa3dcba0700bfd751,,2.5 km from Ring road,Located at Peaceful environment with prime location
260,"रू. 3,20,00,000",HB-5C3FA3,"Charikot dolakha, Bhimeshwor Municipality, Nepal",Available,Negotiable,1 years ago,2023-07-18,House - Individual,2,3 and half,6,11,Pitched,16 aanai,,Non,4,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/home-for-sale-in-charikot-in-dolakha/5c3fa3d89e9c4d47afdafe7cfee2230c,9 yr,,
261,"रू. 2,30,00,000",HB-EC6BE6,"रामकोट, नागार्जुन, नागार्जुन नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",Not Available,Negotiable,6 hours ago,2023-07-14,House In a Colony,1,2,2,6,Gravel,6,2050,Semi,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/kathmanduramkot-ma-ramro-ghar-bikrima-in-nepal/ec6be6d1279dadae8fb43278879bfdfe,4+ years,,great
262,"रू. 3,00,00,000",HB-8D8F83,"Imadol (Mahalaxmi), Lalitpur",Not Available,Negotiable,2 months ago,2024-01-31,HouseIndividual,O,3,4,13,Pitched,3.3,O,Non,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-imadol-ansari-clinic-height-33anna-in-lalitpur/8d8f83e9dfcc432da6a4f9b911640bc9,O,Ansari clinic (Sahanaj clinic ),O
263,"रू. 4,50,00,000",HB-FA24D7,"Gothatar (Kageshwor), Kathmandu",Not Available,Not Negotiable,2 months ago,2024-04-11,HouseIndividual,2,2,3,6,Pitched,6.6 ana,6.66 ana,Semi,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/land-at-gothataar-house-free-in-kathmandu/fa24d7b71604482da25e3ebc84bf327a,Few,,Only land price house free
264,"रू. 2,50,00,000",HB-678E0B,"Tokha Sadak, Baniyatar, Tokha Chandeshwari",Not Available,Negotiable,10 months ago,2023-11-30,House In a Colony,1,2.5,2,3,Pitched,3.anna4. anna5 anna ko house chaa,1500 to 1900 sq chaa,Semi,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-balkhu-houseing-in-nepal/678e0be03f394b86b203e8eda4232ed7,no,,
265,"रू. 1,70,00,000",HB-465FD1,Dharampur,Not Available,Negotiable,7 months ago,2025-12-31,House - Individual,1,1,2,2,Gravel,4,2200,Semi,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-chunikhel-in-nepal/465fd1fa8bc24cf3951b2ce5f9c39777,,,पार्किङ
266,"रू. 2,75,00,000",HB-F4141B,"Tokha Chandeshwari (Tokha), Kathmandu",Available,Negotiable,9 months ago,2023-07-31,House - Individual,2,2.5,4,6,Pitched,3.5,0,Non,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-tokha-in-kathmandu/f4141b31dc8143e4b84cc252056ac496,,,
267,"रू. 2,00,00,000",HB-50D3A6,"All Core Kathmandu, Kathmandu",Not Available,Not Negotiable,6 months ago,2032-02-02,HouseInColony,1,3,2,6,Pitched,4,Visit,Semi,2,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/50d3a65849264a2bb8d62fbc0936bbe4,1,,
268,"रू. 3,40,00,000",HB-B0804B,"Nava Marg, खरेल टोल, लाजिम्पाट",Not Available,Negotiable,12 days ago,2023-09-30,House - Individual,2,3,3,4,Pitched,3,2324,Non,2,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-lazimpat-3a-340lakh-in-nepal/b0804b46e12b42d284b4d47b77f0e738,15,,
269,"रू. 3,50,00,000",HB-C32269,"Dhapakhel, Lalitpur",Available,Not Negotiable,10 months ago,2023-12-28,House In a Colony,1,2.5,1,1,Pitched,4.5,2400,Semi,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-dhapakhel-civil-homes-in-lalitpur/c32269f5e7c647abb59f4477b1d31838,,,
270,"रू. 5,50,00,000",HB-86DFD5,"Kathmandu City, Kathmandu",Available,Negotiable,2 months ago,2025-02-17,HouseIndividual,2,2,2,4,Pitched,8,100,Non,2,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/86dfd5a6ecfd452fb96c7889ee7458aa,9 years,new,new
271,"रू. 90,00,000",HB-4DE5BB,"budanilkantha, Budhanilkantha, Kathmandu",Not Available,Negotiable,25 days ago,2023-07-16,HouseIndividual,,2,1,5,Pitched,3.2 Aana,,Non,,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-jagdol-kathmandu-in-kathmandu/4de5bb9b60ae4555b85ccba3c03fe35d,,Near Janajagriti Secondary School,Located At Peaceful Area
272,"रू. 2,65,00,000",HB-6D4312,"सीतापाखा, इमाडोल",Not Available,Negotiable,2 days ago,2023-07-13,House - Individual,3,3,3,6,Pitched,4,1900,Non,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/6d4312fec71adf5bbda5950f89cf43db,six years,good,good
273,"रू. 5,60,00,000",HB-C59809,"Nakkhu Jal Binayak Marg, भैसेपाटी, तल्लो गाउँ",Not Available,Negotiable,2 days ago,2023-07-12,Bunglow,1,3,4,4,Pitched,9,2600,Semi,1,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-sale-on-nakhu-in-nepal/c59809fe60a108ebbf94494873f16f4f,,mediciti hospital,
274,"रू. 1,50,00,000",HB-F8795A,"ghamcha kritipur, Gamcha (Kirtipur), Kathmandu",Available,Negotiable,11 months ago,2023-12-23,House - Individual,2,2,2,3,Gravel,2.75 aana,,Non,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-in-urgent-sell-gamchakirtipur-in-kathmandu/f8795a9b062c459aaea404ce221e8241,,,
275,"रू. 1,55,00,000",HB-B63AF8,"Lubhu (Mahalaxmi), Lalitpur",Available,Negotiable,9 months ago,2023-07-31,House - Individual,0,2.5,3,4,Pitched,4,0,Non,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-lubhu-in-lalitpur/b63af84716d44f76b3e0297b52f3483e,,,
276,"रू. 6,00,00,000",HB-76B6CA,"Gusingal (Sanepa), Lalitpur",Available,Not Negotiable,10 months ago,2023-12-28,House - Individual,5,5,5,15,Pitched,6,1381,Full,4,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-gusingal-in-lalitpur/76b6ca2c94114569b49bd39b499f1bca,,,
277,"रू. 1,55,00,000",HB-1525BE,"Baudha, Boudha, Kathmandu",Not Available,Not Negotiable,2 months ago,2023-08-23,HouseIndividual,2,2,2,4,Pitched,3,558,Non,2,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sell-nayabasti-boudha-urgent-in-kathmandu/1525be841c7144e08e2bee18e2fd97f3,,,
278,"रू. 3,95,00,000",HB-4FC486,"Imadol (Mahalaxmi), Lalitpur",Not Available,Negotiable,4 months ago,2030-04-01,HouseIndividual,2,2.5,5,8,Gravel,4.5,0,Semi,3,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-lalitpur-in-lalitpur/4fc48638a69842e9ac33d38d3084c773,residential,,south facing
279,"रू. 3,25,00,000",HB-716EA7,"Tokha Saraswati (Tokha), Kathmandu",Available,Negotiable,7 months ago,2023-08-31,House - Individual,1,2,3,4,Pitched,4.5,2900,Full,1,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-tokha-in-kathmandu/716ea7ddf51d4894bc788a6086fa8da1,,,
280,"रू. 8,50,00,000",HB-2976867,Kathmandu > Mandikatar (Dhumbarahi),Not Available,Negotiable,1 years ago,2023-08-31,,3,3.5,7,5,Pitched,11,,Semi,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/newly-renovated-bungalow-at-mandikhatar-ktm-in-bara/8fa2a03d87b14dc798b9bef67e294ea2,10 y,"Mandikhatar , kathmandu","2, 3, 4, Garden, Parking Space, Garage"
281,"रू. 1,30,00,000",HB-C76AC7,"Tangal Bhat Bhateni Baluwatar Naxal Lazimpat, Gairidhara Area, Kathmandu",Not Available,Not Negotiable,3 months ago,2023-06-16,HouseIndividual,1,3,1,1,Pitched,0-2-0-0,1200,Full,1,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-lazimpat-in-kathmandu/c76ac7f761044791ac1aeb3d758a899d,,,1 shutter
282,"रू. 2,65,00,000",HB-2F2B49,"महालक्ष्मीस्थान रोड, टिखिडोल, कुसुन्ती",Not Available,Negotiable,17 days ago,2023-06-28,House - Individual,2,3,5,6,Pitched,3,1,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sell-lalitpur-bojepokhari-sangai-ko-ghar-in-nepal/2f2b49dcbef541679f5a1855f2113e2f,not us,1,1
283,"रू. 4,75,00,000",HB-188AD6,"Ratopul रातोपुल, Pidikhola, Nepal",Available,Not Negotiable,1 years ago,2023-12-30,House - Individual,4,3.5,5,11,Pitched,6,,Non,4,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-ratopul-in-nepal/188ad62053d3416db0c9ac48fccfb3f2,,,
284,"रू. 1,27,00,000",HB-543C5B,"बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",Not Available,Negotiable,1 months ago,2025-12-31,House - Individual,1,1,1,1,Others,3,900,Full,1,Less Than 5 Ft.,https://hamrobazaar.com/for-sale-house/home-in-nepal/543c5b7617de4547bdbcca8d7ebfe7da,very good,"kathmandu budhanilkantha 10, kapan",Good
285,"रू. 2,00,00,000",HB-05528E,"Sahid Basu Smriti Marg, मैत्री नगर",Not Available,Not Negotiable,13 days ago,2023-07-02,House - Individual,1,3,3,5,Pitched,3,1600,Full,3,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/05528e3497c7497b9ab22cb424905c14,,,
286,"रू. 3,60,00,000",HB-4BD97F,"Khadkagaon, Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Not Available,Not Negotiable,6 days ago,2023-12-09,House - Individual,3,4,7,8,Pitched,4,3200,Semi,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/jyotinagar-budhanilkantha-35-floor-house-in-kathmandu/4bd97f78a05e459d95116817fac2644c,Family,Jyotinagar,Parking
