,Floors,City,Address,Land,Price,Bedroom,Bathroom,Face,Road
516,2.5,Kathmandu,Baneshwor,2738.0,47500000.0,5.0,4.0,west,10.0
517,2.5, Kathmandu,Jarankhu,1095.2,16000000.0,4.0,3.0,south west,10.0
518,3.0,Kathmandu,Bansbari,2053.5,36000000.0,6.0,6.0,south east,10.0
519,3.0,Kathmandu,Jorpati,1369.0,23000000.0,7.0,4.0,east,10.0
520,3.0, Kathmandu,Shankhamul,1026.75,31500000.0,4.0,3.0,south east,10.0
521,3.5, Kathmandu,Basundhara,1026.75,28000000.0,,4.0,south east,10.0
522,2.5, Kathmandu,Mahadevsthan,1711.25,22000000.0,6.0,3.0,south,10.0
523,3.5, Kathmandu,Lainchaur,1711.25,43000000.0,17.0,10.0,south,10.0
524,3.0,Kathmandu,Jorpati,1026.75,16500000.0,9.0,3.0,south west,10.0
525,3.0,Kathmandu,Sitapaila,2053.5,29000000.0,6.0,4.0,east,10.0
526,3.5, Kathmandu,Baluwatar,2053.5,76000000.0,8.0,10.0,south,10.0
527,,Kathmandu,Bhangal,1026.75,12000000.0,0.0,0.0,south west,10.0
528,,Kathmandu,Bishal Nagar,1044.0,45000.0,2.0,2.0,south east,10.0
529,1.0,Kathmandu,Kadaghari,1197.875,13000000.0,2.0,1.0,east,10.0
530,,Kathmandu,Kadaghari,1369.0,11300000.0,3.0,1.0,north,10.0
531,2.0,Kathmandu,Sitapaila,1347.609375,18500000.0,3.0,3.0,south,10.0
532,5.0, Kathmandu,Gaurighat,2395.75,60000000.0,9.0,7.0,south,10.0
533,3.5, Kathmandu,Dhumbarahi,2429.975,56000000.0,7.0,6.0,south,10.0
534,,Kathmandu,Basundhara,900.0,30000.0,2.0,1.0,west,10.0
535,3.0,Kathmandu,Shantinagar,2224.625,42500000.0,6.0,0.0,north,10.0
536,2.5, Kathmandu,Baluwatar,2738.0,55000000.0,4.0,3.0,south,10.0
537,3.0,Kathmandu,Basundhara,2053.5,20000.0,2.0,1.0,west,10.0
538,3.5, Bhaktapur,Balkot,2053.5,42500000.0,4.0,4.0,south,10.0
539,2.5, Kathmandu,Basanti Chowk,1026.75,22000000.0,,,south,10.0
540,2.5, Kathmandu,Kalanki,1403.225,29000000.0,5.0,4.0,south,10.0
541,2.5, Kathmandu,Chandragiri,1095.2,17000000.0,6.0,3.0,south east,10.0
542,3.0,Kathmandu,Kageshwari Manohara,705.890625,12500000.0,4.0,3.0,east,10.0
543,6.0,Kathmandu,Basantapur,342.25,22500000.0,3.0,4.0,south east,10.0
544,2.5, Kathmandu,Mulpani,1497.0,12500000.0,4.0,3.0,south east,10.0
545,1.0, Kathmandu,Danchhi,1060.975,15000000.0,2.0,1.0,south,10.0
546,2.5,Kathmandu,Buddhanagar,1026.75,29900000.0,5.0,3.0,south,10.0
547,2.5, Lalitpur,Bhaisepati,1403.225,38000000.0,4.0,3.0,south east,10.0
548,2.5,Kathmandu,Buddhanagar,855.625,24500000.0,3.0,3.0,south,10.0
549,2.5, Kathmandu,Jorpati,1095.2,23000000.0,5.0,3.0,south,10.0
550,2.5, Lalitpur,Imadol,1060.975,23000000.0,,,south east,10.0
551,1.0, Bhaktapur,Sudal,1095.2,10500000.0,3.0,1.0,south,10.0
552,2.0, Kathmandu,Chandragiri,1369.0,16000000.0,2.0,2.0,south east,10.0
