,Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
1165,47500000.0,"Sitapakha, Imadol, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44705, Nepal",2.5,4,3,1369,13.0,budhanilkantha
1166,28000000.0,"Sitapakha, Imadol, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44705, Nepal",2.5,5,7,1369,13.0,satobato
1168,28500000.0,"Sitapakha, Imadol, Khadkatol, Khadkagau, Mahalaxmi Municipality, Lalitpur, Bagmati Pradesh, 44795, Nepal",2.5,3,5,1026.75,20.0,Near new millennium school
1169,36500000.0,"Sitapakha, Imadol, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44705, Nepal",2.5,5,4,1369,20.0,Tikathali
1170,32500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,6,1026.75,13.0,Imadol Swimming Pool
1171,25500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,5,1026.75,13.0,Imadol Krishna Mandir
1172,23000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3,7,1026.75,13.0,Imadol Highway 400m
1173,30000000.0,"Tikhidewal, Nakhudol, Lalitpur",2.5,6,7,1369,20.0,magar samaaj
1174,20000000.0,"Tinthana (Chandragiri), Kathmandu",2.5,4,5,1090.92,13.0,Rising Academy
1190,56500000.0,"vishal nagar, Bishal Nagar, Kathmandu",2.5,4,4,2053.5,13.0,Near by naxal Bhabhatni
1196,19000000.0,"Tikathali (Mahalaxmi), Lalitpur",2.5,3,4,1005.35,13.0,tikathali
1197,35000000.0,"vasundhara, Basundhara, Kathmandu",2.5,3,53,1711.25,13.0,Basundhara
1216,22500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,4,684.5,13.0,"Satdobato, Hattiban"
1217,28500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,4,941.18,13.0,Imadol Tempo Park
1218,24000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3,4,1026.75,13.0,Thaiba
1219,23000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3,7,1026.75,13.0,imadol highway 300m
1220,28000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3,7,1026.75,13.0,Imadol Bhatbhateni
1221,27000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3,5,1026.75,13.0,"IMADOL BHATBHATENI, OCHU HEIGHT"
1222,32500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,6,684.5,20.0,"GWARKHU CHOWK, NAYABASTI SITAL TOL"
1225,1.0,"Thankot (Chandragiri), Kathmandu",2.5,2,6,941.18,13.0,Near Bhim higher secondary school
1229,18500000.0,"Tikathali (Mahalaxmi), Lalitpur",2.5,O,O,1219.26,13.0,Pawan prakrti school
1236,16500000.0,"Bisankhunarayan, Godawari, ललितपुर, Bagmati Pradesh, नेपाल",2.5,3.0,6.0,2395.75,13.0,Santaneswar Lalitpur
1237,16000000.0,"Thapathali Marg, थापाथली",2.5,2,12,8556.25,12.0,Bouddha Jorapati Kathmandu
1238,28500000.0,"Thankot, Chandragiri, Kathmandu, Bagmati Pradesh, 44619, Nepal",2.5,3,4,1129.425,12.0,near chandrairi cable car bottom station
1239,29500000.0,"Thankot, Chandragiri, Chandragiri Municipality, Kathmandu, Bagmati Pradesh, 44619, Nepal",2.5,3,5,1796.81,13.0,Highvision colony Chandragiri
1240,34500000.0,"Thulo Bharyang, Nagarjun, Kathmandu, Bagmati Pradesh, 44620, Nepal",2.5,2,2,1540.12,12.0,"sitapaila mandir , sitapaila"
1243,22000000.0,"Siddhipur Thaiba Road, Safal Tol, Harisiddhi, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 41700, Nepal",2.5,3,4,1026.75,13.0,Bhatbhatini
1248,50000000.0,"Balkumari, Lalitpur",2.5,5,4,1711.25,20.0,300 MITER FROM RING ROAD
1250,25000000.0,"Balkot (Ananta), Bhaktapur",2.5,4,5,1112.31,13.0,0.3.1.0
1254,13500000.0,"Balaju, Kathmandu",2.5,2,4,855.625,13.0,Balaju lolang hight New tarkaribazar Haryali basti gate 2
1255,13500000.0,"Balaju, Kathmandu",2.5,2,4,855.625,13.0,Balaju lolang hight tarkaribazar gate no 2
1258,25500000.0,"Balaju, Kathmandu",2.5,3,8,1026.75,12.0,"Bhairabpati, Lolang Buspark"
1259,18000000.0,"Bajra Academy, Thecho Chapagaun Road, Wakhat, Sunakothi, Satitar, Sunakothi, Godawari, Lalitpur",2.5,3,5,1369,13.0,Bajrabarahi temple
1266,35500000.0,"Bafal, Kathmandu",2.5,4,5,1369,12.0,Bafal
1268,23500000.0,"Bafal, Kathmandu",2.5,2,6,855.625,12.0,Inside ringroad near Chhauni Housing
1270,37000000.0,"Bafal, Kathmandu",2.5,3,4,1262.04,13.0,Near By Hyatt Place
1273,80000000.0,"Nepal CRS Co. LTD, Tokha Road, Nav Milan Bastii, Jalpa Chowk, Kathmandu, टोखा नगरपालिका, Kathmandu, Bagmati Pradesh, 21775, Nepal",2.5,4,5,3175.4355,13.0,"Bandevi Marga, Tokha 11"
1274,54000000.0,"Bagdol, Lalitpur",2.5,4,7,1754.03,20.0,Bagdol
1283,130000000.0,"basbari, Bansbari, Kathmandu",2.5,6,6,6160.5,13.0,Bansbhari near by namuna college
1289,20000000.0,"bangal, Bhangal (Budhanilkantha), Kathmandu",2.5,5,4,1026.75,20.0,Near by manbhadur Chowk.
1292,37500000.0,"bangal, Bhangal (Budhanilkantha), Kathmandu",2.5,4,7,1026.75,13.0,0.3.0.0
1294,25000000.0,"bangal, Bhangal (Budhanilkantha), Kathmandu",2.5,4,7,1197.875,13.0,3.5
1296,125000000.0,"Baluwatar, Kathmandu",2.5,4,4,4894.175,12.0,Kathmandu
1297,80000000.0,"Baluwatar, Kathmandu",2.5,5,4,3422.5,13.0,Baluwatar near by European bekary.
1299,75000000.0,"Baluwatar, Kathmandu",2.5,4,5,2139.06,13.0,Paulin's Garden
1306,17000000.0,"bangal, Bhangal (Budhanilkantha), Kathmandu",2.5,3,5,1026.75,12.0,KARUNA HOSPITAL AREA
1307,4650000000000000.0,"bangal, Bhangal (Budhanilkantha), Kathmandu",2.5,4,5,2395.75,13.0,Bhangal Height
1311,23000000.0,"All Outskirt Lalitpur, Lalitpur",2.5,3,8,1283.4375,12.0,bojepokhari
1312,27500000.0,"All Core Lalitpur, Lalitpur",2.5,4,5,1411.78,13.0,https://maps.app.goo.gl/eLXsVUhBA9ZsPX689?
1314,44900000.0,"Ramkot (Nagarjun), Kathmandu",2.5,4,3,2352.96,13.0,Padma Fuel Center
1316,22500000.0,"raniban micro park, Jamacho Marg, Thulo Bharyang, Nagarjun, Kathmandu, Bagmati Pradesh, 44611, Nepal",2.5,3,5,1026.75,13.0,Near Raniban Micropark
1322,45000000.0,"Sandhya motorcycle workshop, Nakkhudole, lalitpur, Nakkhudol Prabhawati Marg, Bhaisepati, Sainbu, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 13775, Nepal",2.5,5,5,1540.125,20.0,"Way to EPS Korea Training Center, Bhaisepati"
1324,63500000.0,"Sanepa, Lalitpur",2.5,6,5,1711.25,13.0,Sanepa
1325,125000000.0,"Sanepa, Lalitpur",2.5,7,7,4243.9,20.0,Sanepa Lalitpur
1329,24000000.0,"sanogaon sanogaun, Sanagau (Mahalaxmi), Lalitpur",2.5,4,5,1197.875,13.0,SANA GAU
1331,22500000.0,"Shova NiWas, Sana Gaon - Shankhadevi - Dharachaur Road, Bisnudol, Khadkatol, Lubhu, Mahalaxmi Municipality, Lalitpur, Bagmati Pradesh, 44700, Nepal",2.5,4,5,1026.75,20.0,Shidhdhipur Height
1335,22500000.0,"Satdobato, Lalitpur",2.5,3,6,1026.75,13.0,"Pawan Prakriti School , Panityanki"
1337,135000000.0,"purano baneshwar old baneshwor, Purano Baneshwor (Old Baneshwor), Kathmandu",2.5,O,O,4107,20.0,Old baneshwor
1338,35000000.0,"Satdobato, Lalitpur",2.5,4,5,1369,13.0,"Kist Hospital, Timilsina Chowk"
1339,110000000.0,"Satdobato, Lalitpur",2.5,4,4,4363.68,13.0,Satdobato
1341,20000000.0,"sanogaon sanogaun, Sanagau (Mahalaxmi), Lalitpur",2.5,3,5,1026.75,13.0,Mahalaxmi sanagau bhatbhateni
1343,25000000.0,"sanogaon sanogaun, Sanagau (Mahalaxmi), Lalitpur",2.5,3,5,1095.2,13.0,sanagaun
1345,37000000.0,"Satdobato, Lalitpur",2.5,7,5,1711.25,13.0,New Milenium School
1346,135000000.0,"purano baneshwar old baneshwor, Purano Baneshwor (Old Baneshwor), Kathmandu",2.5,O,O,4107,20.0,Old baneshwor chok
1347,17400000.0,"Private Orphanage, 25DR004, Dhapakhel, Satitar, Lalitpur",2.5,3,3,1026.75,20.0,"Near CG Plot, Nagdaha, Dhapakhel"
1351,37000000.0,"Siddhipur Thaiba Road, सफल टोल",2.5,0.0,0.0,342.25,12.0,m
1355,14800000.0,"newari khaja ghar, Gwarko-Lamatar, Chakamakal, Khadkatol, Lubhu, Mahalaxmi Municipality, Lalitpur, Bagmati Pradesh, 44708, Nepal",2.5,2,4,1112.3125,13.0,dhungin buspark
1360,26000000.0,"akashedhara, Akasedhara (Kapan), Kathmandu",2.5,4,4,1060.975,13.0,Kapan height
1364,25000000.0,"Sidhicharan Sadak, Dallu, Banasthali, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44620, Nepal",2.5,3,2,1197.875,13.0,Shitala Madhyamik Bidhyalaya (govt. school)
1365,11000000.0,"Nilkantha, Dhading",2.5,1,5,581.825,20.0,**
1367,25000000.0,"Prabhawati Marg, Nakhu Bajar, Nakhu, Patan, Lalitpur, Bagmati Pradesh, 40000, Nepal",2.5,3,6,941.1875,13.0,Kusunti
1377,77500000.0,"Pasikot Shiva Mandir, Kathmandu, Nepal",2.5,5,6,5133.75,13.0,Near shreeram school pasikot
1378,20000000.0,"Pasikot futsal, Budhanilkantha, Nepal",2.5,3,5,1129.425,20.0,budhanilkantha pasikot kantipur
1380,67500000.0,"Panchakumari Chok, Mandikhatar, Budhanilkantha Municipality, Kathmandu, Bagmati Pradesh, 44606, Nepal",2.5,4,3,2395.75,12.0,Grande Hospital
1386,19000000.0,Kathmandu > Kalanki,2.5,2,9,1060.975,8.0,Sanrachana Galli -75 Kalanki sthan Kathmandu-14
1388,38000000.0,Lalitpur > Imadol (Mahalaxmi),2.5,4,4,1779.7,20.0,"Shital height, imadol, lalitpur"
1389,19000000.0,Jhapa > Birtamod,2.5,3,4,1731.375,12.0,Near Boston School
1390,20000000.0,Lalitpur > Imadol (Mahalaxmi),2.5,3,3,1026.75,13.0,"near swimming pool, Imadol"
1394,55000000.0,Lalitpur > Imadol (Mahalaxmi),2.5,4,3,1882.37,13.0,"Imadol , Balkumari, Lalitpur"
1397,69000000.0,Kathmandu > Chapali (Budhanilkantha),2.5,4,3,4791.5,13.0,Chapali bhudanilkantha
1398,69000000.0,Kathmandu > Chapali (Budhanilkantha),2.5,3,3,4825.725,13.0,Chapali height
1400,77500000.0,Kathmandu > Tangal (Naxal),2.5,3,4,3251.375,13.0,Gahanapokhari.
1401,16000000.0,Lalitpur > Imadol (Mahalaxmi),2.5,3,7,787.175,12.0,"Imadol, Seti Pakha."
1402,41500000.0,Lalitpur > Jhamsikhel,2.5,4,5,1112.31,20.0,JHAMSIKHEL
1403,80000000.0,Kathmandu > Chapali (Budhanilkantha),2.5,3,4,4791.5,13.0,Chapali Budhanilkantha
1406,90000000.0,Kathmandu > Dhapasi (Tokha),2.5,2,5,5133.75,12.0,"Dhapasi, Tokha Road"
1408,28000000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,4,5,1197.875,13.0,imadol
1411,26000000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,4,9,1219.26,13.0,near by new millennium school
1413,42500000.0,"Jambu Marg Dakshin, Bishal Chok, Nakhudol, Patan, Lalitpur, Bagmati Pradesh, 44702, Nepal",2.5,4,4,1369,13.0,Milanchowk
1414,112500000.0,Kathmandu > Chandol,2.5,4,4,3251.375,20.0,Chandol coloney
1416,19500000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,4 (1 attached),5,1369,13.0,150m from Imadol Police Station
1421,11000000.0,"Janakpur Railway Station, Dhanusha (Janakpur)",2.5,2,15,1822.5,12.0,Sita chowk
1422,32500000.0,Lalitpur > Sunakothi,2.5,3,3,1369,13.0,"The CG Villa, Sunakothi Lalitpur"
1423,40150000.0,Lalitpur > Jhamsikhel,2.5,4,5,1112.31,20.0,jhamsikhel
1424,17000000.0,Kathmandu > Chapali (Budhanilkantha),2.5,3,8,1471.675,13.0,Budhanilkantha chautara
1426,175000000.0,Kathmandu > Kuleshwor,2.5,6,5,6502.75,13.0,Kuleshwor.
1427,50000000.0,Kathmandu > Kuleshwor,2.5,5,6,1368.99,13.0,Kuleshwor
1430,18000000.0,"Jorpati Makalbari Narayantar Chabahil Gaurighat Kumarigal Baudha, Boudha Area, Kathmandu",2.5,3,5,1026.75,13.0,Greenhill city colony gate
1431,69000000.0,Kathmandu > Maharajgunj,2.5,6,6,3764.75,13.0,Ganeshbasti Maharajgung
1432,26000000.0,Kathmandu > Maharajgunj,2.5,4,5,1711.25,20.0,ganeshbasi main road
1435,39000000.0,Kathmandu > Mandikatar (Dhumbarahi),2.5,5,6,1711.25,13.0,à¤®à¤£à¥à¤¡à¤¿à¤–à¤¾à¤Ÿà¤¾à¤°
1437,70000000.0,"Khumaltar, Lalitpur",2.5,4,5,3422.5,13.0,Khumaltar
1438,8000000.0,"Jwagal Bakhundole Bhakundole Chakupat Pulchowk Sanepa Kupandol kopondole, Kupondole Area, Lalitpur",2.5,4,5,4107,13.0,Kupandol
1439,27500000.0,"Lalitpur, Bagmati Pradesh, Nepal",2.5,4,5,1437.45,13.0,Taukhel
1440,42500000.0,Kathmandu > Budhanilkantha,2.5,4,4,1471.675,20.0,Bhudanilkantha
1447,26000000.0,"Lalitpur City, Lalitpur",2.5,3,5,1090.92,13.0,Harisiddhi
1448,25000000.0,Lalitpur > Hattiban,2.5,3,4,855.625,13.0,"Satdobato, Hattiban, Lalitpur"
1452,39000000.0,"Lalitpur City, Lalitpur",2.5,6,5,1711.25,13.0,ICIMOD
1454,21500000.0,"Lalitpur City, Lalitpur",2.5,4,5,1112.31,13.0,Lalitpur Imadole
1455,27000000.0,"kritipur, Tyangala Phant (Kirtipur), Kathmandu",2.5,4,4,1403.225,13.0,Kritipur tyangla phant
1456,21000000.0,Kathmandu > Gothatar (Kageshwor),2.5,2,5,1026.75,12.0,"Gothatar, Kalamthali-8 ( 100 meter inside from New Pani Tanki)"
1459,23500000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,3,4,1090.92,12.0,Imadole to Ochhu Height Road
1461,110000000.0,Kathmandu > Lazimpat,2.5,3,6,5304.875,13.0,Lazimpat Near European Union
1462,71000000.0,Kathmandu > Lazimpat,2.5,3,4,3251.375,13.0,Lazimpat
1464,36500000.0,Kathmandu > Sukedhara,2.5,4,5,1369,13.0,à¤¸à¥à¤•à¥‡à¤§à¤¾à¤°à¤¾ à¤…à¤ªà¤¾à¤°à¥à¤Ÿà¤®à¥‡à¤¨à¥à¤Ÿ à¤¨à¤œà¤¿à¤•
1466,28000000.0,Lalitpur > Hattiban,2.5,3,3,1197.875,20.0,Hattiban inside colony
1467,27000000.0,Kathmandu > Lazimpat,2.5,2,6,1369,12.0,Lazmipat just about 100m from main road.
1468,47500000.0,Kathmandu > Budhanilkantha,2.5,5,3,2053.5,13.0,"Deuwa chowk, Budhanilkantha"
1469,25000000.0,Kathmandu > Hepali Height (Budhanilkantha),2.5,5,5,941.1875,13.0,2km from Golfutar 1km from Deurali janta Inside Saraswati Colony Behind Bhadrakali Dudh Udhyog
1470,175000000.0,Kathmandu > Hattigaunda (Budhanilkantha),2.5,4,5,5647.125,20.0,Hattigauda.
1471,35000000.0,Lalitpur > Nakhudole (Bhaisepati),2.5,5,5,1437.45,13.0,500 meter from Medicity
1475,24000000.0,"Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",2.5,4,4,1026.75,13.0,imadol
1481,21500000.0,"Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",2.5,2,3,1026.75,20.0,"Sanogaun, Gwarkhu Highhway"
1483,16000000.0,Kathmandu > Gothatar (Kageshwor),2.5,3,6,1026.75,5.0,kageshwori manahara-8 gothatar (mantar)
1484,27000000.0,"Imadol, Khadkatol, Khadkagau, Mahalaxmi Municipality, Lalitpur, Bagmati Pradesh, Nepal",2.5,4,4,1197.87,13.0,"naya basti, imadol"
1485,25000000.0,"Imadol, Khadkatol, Khadkagau, Mahalaxmi Municipality, Lalitpur, Bagmati Pradesh, Nepal",2.5,2,4,1133.7,13.0,sitalheight
1486,67000000.0,Kathmandu > Hattigaunda (Budhanilkantha),2.5,3,4,3422.5,12.0,Hattigada
1487,47000000.0,"Kusunti, Lalitpur",2.5,3,3,1779.7,20.0,Lalitpur
1489,24500000.0,"Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",2.5,4,5,1026.75,13.0,"Ochu Height, Imadol Krishna Mandir"
1490,20000000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,3,5,1026.75,13.0,imadol
1491,19900000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,3,4,1026.75,13.0,imadol
1496,31000000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,4,9,1326.21,20.0,Mahalxmi imadol
1497,26500000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,4-Feb,6-May,1116.59,20.0,nearby new millennium school
1498,47000000.0,Kathmandu > Gothatar (Kageshwor),2.5,3,4,2310.1875,20.0,fikal chowk
1500,39500000.0,"Kusunti, Lalitpur",2.5,4,4,1754.03,20.0,Nakhu kusunti
1505,27000000.0,"Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",2.5,4,7,1700,13.0,"Tikathali, Panityanki"
1509,27000000.0,"Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",2.5,4,6,1197.875,13.0,imadol
1511,100000000.0,Kathmandu > Dhapasi (Tokha),2.5,6,7,4449.25,12.0,"Dhapasi , Tokha Road"
1512,67500000.0,"Imadol, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44705, Nepal",2.5,5,5,2395.75,13.0,"Budhanilkantha, kathmandu"
1514,23500000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,3,3,1155.09,13.0,Near By New Millennium School
1516,25000000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,3,3,1155.09,13.0,"Imadol, lalitpur"
1521,28000000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,2,7,1197.87,13.0,"naya basti, imadol"
1523,27000000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,3,7,1197.87,13.0,"naya basti, imadol"
1526,27000000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,3,5,1197.875,13.0,250m from Imadol Police Station.
1527,26000000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,3,4,1197.875,13.0,Near Ochu Height
1528,7500000.0,"Iplachhen tole, Ugrachandi Nala, Banepa, Kavrepalanchok, Bagmati Pradesh, 46210, Nepal",2.5,2,3,1026.75,20.0,Ugrachandi bhagbati temple
1529,29000000.0,Kathmandu > Tokha,2.5,5,7,1369,13.0,"Tokha-03, Bhutkhel"
1530,135000000.0,Kathmandu > Thulo Bharyang,2.5,5,6,6160.5,20.0,"Thulo Bharyang, Inside Ring Road"
1531,30000000.0,Kathmandu > Hattigaunda (Budhanilkantha),2.5,3,4,1095.2,13.0,Hattigaunda 500 meter from main road
1532,45000000.0,Kathmandu > Hattigaunda (Budhanilkantha),2.5,7,7,1779.7,13.0,à¤¹à¤¤à¥à¤¤à¤¿à¤—à¥Œà¤‚à¤¡à¤¾
1537,40000000.0,Kathmandu > Golfutar (Budhanilkantha),2.5,4,5,2139.06,12.0,"Golfutar , Special chowk , ktm"
1542,37500000.0,Lalitpur > Sunakothi,2.5,3,3,1505.9,13.0,Sunakoti CG Villa
1543,41000000.0,Kathmandu > Golkopakha (Shorakhutte),2.5,2,5,1197.875,13.0,Golkopakha thamel
1545,23500000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,4,4,1069.53,13.0,Imadol swimming pool
1546,80000000.0,Kathmandu > Tyangala Phant (Kirtipur),2.5,6,9,3764.75,13.0,"maitrinagar, tyangala phat"
1547,26700000.0,Kathmandu > Balkhu,2.5,3,3,787.175,20.0,"Balkhu, Opposite to TU Office of Parichya Niyantran Karyalaya 100m from Isuzu showroom"
1549,75000000.0,Kathmandu > Dhumbarahi,2.5,5,4,4107,12.0,"Dhumbarahi , KTM"
1552,29000000.0,Kathmandu > Dhapasi (Tokha),2.5,3,4,1026.75,13.0,"Tokha road, Dhapasi"
1558,100000000.0,Kathmandu > Baluwatar,2.5,3,4,4449.25,13.0,Baluwatar
1559,125000000.0,Kathmandu > Baluwatar,2.5,3,4,5133.75,20.0,Baluwatar near pabitraworkshop
1560,107500000.0,Kathmandu > Baluwatar,2.5,4,6,4791.5,13.0,Baluwater nearly by IOM office.
1561,57500000.0,Kathmandu > Narayanthan (Budhanilkantha),2.5,5,5,2053.5,13.0,Budhanilkantha kathmandu
1563,26600000.0,Kathmandu > Sitapaila (Nagarjun),2.5,3,4,1369,13.0,Padma colony phase 3
1566,65500000.0,Kathmandu > Narayanthan (Budhanilkantha),2.5,5,5,2395.75,13.0,Way to deuba niwas
1567,45000000.0,Kathmandu > Narayanthan (Budhanilkantha),2.5,3,5,2738,13.0,Near temple
1569,95000000.0,Kathmandu > Narayanthan (Budhanilkantha),2.5,5,7,5818.25,13.0,Bhudanilkantha bandali
1570,95000000.0,Kathmandu > Bishal Nagar,2.5,3,4,3935.875,20.0,Bisalnagar near tudaldevi
1572,35000000.0,"Karyabinayak, Lalitpur",2.5,4(3 Attached),3,1026.75,13.0,2.5km from ekantakuna
1573,73100000.0,Kathmandu > Ramkot (Nagarjun),2.5,4,4,3525.175,20.0,"Brihat Community Living - Ramkot , Phasku"
1574,16500000.0,Kathmandu > Arubari (Gokarneshwar),2.5,3,7,1026.75,12.0,Arubari Ganesh Mandir
1576,137500000.0,Kathmandu > Bansbari,2.5,6,6,6160.5,12.0,Bansbari near to main road only about 50m from main road.
1577,36500000.0,Kathmandu > Ranibari (Samakhusi),2.5,6,4,1197.875,13.0,Near kapurdhara chowk
1578,36500000.0,Kathmandu > Bhangal (Budhanilkantha),2.5,3,6,1369,13.0,"Bhangal, Sundarbasti, near karuna Hospital"
1579,38000000.0,Kathmandu > Narayanthan (Budhanilkantha),2.5,4,5,2053.5,13.0,Narayanthan.
1583,33500000.0,Kathmandu > Basundhara,2.5,4,5,1369,13.0,à¤µà¤¸à¥à¤¨à¥à¤§à¤°à¤¾ à¤šà¥Œà¤• à¤¨à¤œà¤¿à¤•à¥ˆ
1584,35000000.0,Lalitpur > Gwarko,2.5,4,4,1112.3125,13.0,Gwarko
1588,40000000.0,Kathmandu > Narayanthan (Budhanilkantha),2.5,4,3,1711.25,13.0,Kathmandu bhudanilkantha
1595,25000000.0,"kritipur kritipur, Kirtipur (Kritipur), Kathmandu",2.5,4,4,2053.5,13.0,10 K.m From Ringroad
1596,37500000.0,Kathmandu > Bhangal (Budhanilkantha),2.5,5,5,1437.45,13.0,Tallo Bhangal
1599,14500000.0,"Lamatar, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44708, Nepal",2.5,3,3,1026.75,13.0,a
1600,40000000.0,Kathmandu > Bhangal (Budhanilkantha),2.5,4,5,1967.93,12.0,"Sundar Basti, Bhangal, Bu.Na.Pa.-08, KTM"
1601,60000000.0,Kathmandu > Samakhusi,2.5,4,4,3080.25,13.0,Near navodit college.
1602,40000000.0,Kathmandu > Balaju,2.5,4,7,1711.25,13.0,Near microbus stop
1603,60000000.0,Lalitpur > Bhaisepati / Sainbu,2.5,4,6,2738,12.0,Behind Highland school
1604,21000000.0,Kathmandu > Balkhu,2.5,3,3,927.4975,13.0,Brihat Cluster Balkhu 14 (near Emaley party office)
1606,9000000.0,Kathmandu > Pepsicola (Kadaghari),2.5,3,3,962.57,20.0,.
1607,65000000.0,Kathmandu > Budhanilkantha,2.5,5,5,2395.75,13.0,"Budhanilkantha , Deuwa Chowk"
1608,28000000.0,Kathmandu > Mulpani (Kageshwor),2.5,3,4,1060.975,13.0,In side green hill city
1609,36500000.0,Kathmandu > Pasikot (Budhanilkantha),2.5,5,4,2053.5,20.0,Budhanilkantha pasikot
1610,39000000.0,"Khumaltar, Lalitpur",2.5,4,6,2139.06,20.0,ICIMOD
1612,45000000.0,Kathmandu > Baluwatar,2.5,5,5,2053.5,12.0,Baluwatar chandol
1613,24000000.0,"kopan, Kapan, Kathmandu",2.5,3,7,1026.75,13.0,0.3.0.0
1614,55000000.0,Kathmandu > Sitapaila (Nagarjun),2.5,4,4,2395.75,13.0,"Sita paila , KTM"
1620,35000000.0,Kathmandu > Budhanilkantha,2.5,3,4,2395.75,13.0,Bhudanilkantha taulung
1627,25000000.0,Kathmandu > Phutung (Tarkeshwar),2.5,3,6,1197.87,13.0,"Phutung, KTM"
1628,165000000.0,Kathmandu > Narayanthan (Budhanilkantha),2.5,5,5,10952,13.0,Rudreshwor chowk bata 500 meter inside
1629,105000000.0,Lalitpur > Bagdol,2.5,4,4,5133.75,20.0,Bagdol
1635,37500000.0,Kathmandu > Sitapaila (Nagarjun),2.5,4,4,1369,13.0,"Sitapaila, Kathmandu"
1636,15000000.0,Kathmandu > Mulpani (Kageshwor),2.5,3,5,1026.75,13.0,"Kageshwori Manohara-06, Mulpani Kathmandu"
1637,67500000.0,Kathmandu > Budhanilkantha,2.5,4,5,2310.1875,13.0,"Rudreshwor Chowk , Budhanlkantha"
1638,60000000.0,Kathmandu > Budhanilkantha,2.5,4,5,5133.75,13.0,"Budhanilkantha, near Blue Bridge"
1640,36500000.0,Kathmandu > Balkhu,2.5,3,6,1369,13.0,Balkhu.
1642,29200000.0,Kathmandu > Balkhu,2.5,4,4,1026.75,13.0,"just 1.3 km from Tribhuvan University, 600m from Vayodha Hospital, 2.2 km from Kalanki Chowk and 4.5 km from New Road."
1645,53500000.0,Kathmandu > Sukedhara,2.5,5,5,2395.75,12.0,"Sukedhara , KTM"
1648,24000000.0,"Dhapakhel, Lalitpur",2.5,3,4,941.18,13.0,way to dhapakhel
1649,60000000.0,"Sanchal (Sanepa), Lalitpur",2.5,4,5,1711.25,13.0,Sanchal sanepa
1650,60000000.0,"Gusingal (Sanepa), Lalitpur",2.5,3,5,1711.25,20.0,Gushingal Lalitpur
