,Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
699,22000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3.0,5.0,1026.75,13.0,Tempo Chowk
700,25500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3.0,5.0,1026.75,13.0,imadol krishna mandir
701,26000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3.0,3.0,1026.75,13.0,"Gwarkhu Chowk, NAYABASTI SITAL TOL"
702,23000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3.0,5.0,1026.75,13.0,"Imadol Main Highway, Tikathali"
705,20000000.0,Kathmandu > Syuchatar (Kalanki),2.5,3.0,3.0,1026.75,13.0,Syuchatar
708,25500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4.0,4.0,1026.75,13.0,"Downtown Colony, Green Hill City Housing"
709,155000000.0,Kathmandu > Narayanthan (Budhanilkantha),2.5,4.0,8.0,1026.75,13.0,Near deuwa niwas
710,39000000.0,"Samakhusi, Kathmandu",2.5,5.0,6.0,1026.75,13.0,Near Police Petrol Pump
714,33000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,2.0,4.0,1026.75,13.0,New Milenium School
716,23000000.0,"PC Complex, ChhakkuBakku Marg, Bogati Tol, Naya Baneshwar, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44617, Nepal",2.5,3.0,5.0,1026.75,13.0,"hatiban, lalitpur"
717,22500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3.0,5.0,1026.75,12.0,"NEW MILENIUM SCHOOL, RAJKULO SURYANAGAR"
718,120000000.0,"Baluwatar, Kathmandu",2.5,17.0,26.0,1048.14,13.0,Baluwatar Near by nepal rastra bank
721,23500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4.0,4.0,1026.75,13.0,W-Bhatta
722,23500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4.0,4.0,1026.75,13.0,"Kamalpokhari, Imadol"
