Price,Views,Land Area,Road Access,Facing,Floor,Parking,Bedroom,Bathroom,Furnish Status,Amenity,City,district
12500000.0,151,2.0,12.0,South-West,2.5,3.0,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Solar,Parking,Drinking Water,Balcony,Reserve Tank,Well,Bed Room,Living Room,+ 2 See More",Kapan, Kathmandu
160000000.0,115,16.0,24.0,East,5.0,17.0,,,Un-Furnished,,Samakhusi, Kathmandu
21500000.0,142,2.3,13.0,East,3.0,4.0,3.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Parking,Drinking Water,Balcony,Reserve Tank,Terrace,Boring Water,Well,Modular Kitchen,+ 6 See More",Imadol, Lalitpur
21500000.0,1.1,3.0,12.0,South-East,3.0,2.0,4.0,3.0,Un-Furnished,"Earthquake Resistant,Marbel,Drainage,Parking,Balcony,Terrace,Power Backup,Bed Room,Living Room,Bathroom,Kitchen,+ 2 See More",Baluwakhani, Kathmandu
60000000.0,432,10.2,13.0,South-West,3.5,5.0,5.0,4.0,Un-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Garden,Parking,Drinking Water,Balcony,Terrace,Power Backup,Bathroom,+ 2 See More",Mahadevtar, Kathmandu
38000000.0,416,4.2,13.0,North-East,2.5,2.0,7.0,4.0,Semi-Furnished,,Sampang Chowk, Lalitpur
29000000.0,118,4.0,13.0,South-East,2.5,6.0,5.0,4.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Drinking Water,Balcony,Reserve Tank,Terrace,Well,Modular Kitchen,Internet,Dining Room,+ 7 See More",Balambu, Kathmandu
58000000.0,78 ,6.0,20.0,North,3.5,5.0,8.0,3.0,Un-Furnished,,Ganesh Chowk, Kathmandu
42500000.0,105,5.0,20.0,South,3.0,2.0,7.0,3.0,Semi-Furnished,,Bhaisepati, Lalitpur
27500000.0,105,3.3,12.0,South-East,3.0,5.0,8.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Parking,Drinking Water,Boring Water,Terrace,Reserve Tank,Balcony,Closet,Dining Room,+ 4 See More",Makalbari, Kathmandu
50000000.0,139,6.0,20.0,South,2.5,3.0,3.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Garden,Parking,Drinking Water,Balcony,Terrace,Power Backup,Kitchen,+ 4 See More",Thaiba, Lalitpur
39000000.0,799,4.3,13.0,West,2.5,,,,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Reserve Tank,Balcony,Terrace,Bathroom,Bed Room,Living Room,+ 1 See More",Icimod, Lalitpur
42500000.0,115,4.0,14.0,South,2.5,2.0,3.0,3.0,Full-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Balcony,Terrace,Power Backup,Bed Room,Bathroom,+ 2 See More",Imadol, Lalitpur
56500000.0,129,4.1,20.0,North,2.5,5.0,4.0,5.0,Full-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Balcony,Terrace,Power Backup,Bed Room,Bathroom,+ 2 See More",Tahachal, Kathmandu
31000000.0,951,4.1,13.0,East,2.5,7.0,4.0,3.0,Un-Furnished,,Lasuntar, Kathmandu
22500000.0,434,3.0,16.0,East,1.0,4.0,6.0,3.0,Full-Furnished,"Earthquake Resistant,Drainage,Parking,Reserve Tank,Terrace,Well,Modular Kitchen,Dining Room,Bed Room,Bathroom,Living Room,+ 2 See More",Imadol, Lalitpur
45000000.0,402,7.0,16.0,South,2.5,4.0,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Balcony,Terrace,Power Backup,Bathroom,Kitchen,+ 3 See More",Imadol, Lalitpur
42500000.0,133,4.0,14.0,South,2.5,2.0,3.0,3.0,Full-Furnished,,Imadol, Lalitpur
