,price,views,land area,road access,facing,floor,parking,bedroom,bathroom,furnish status,amenity,city,district
168,Rs. 1.9 Cr,885,4.0 ,16 Feet,,2.5,,6.0,4.0,,,Sanagaun, Lalitpur
169,Rs. 3 Cr,271,4.0 ,26 Feet,South-East,2.5,,8.0,6.0,,,Gurjudhara, Kathmandu
170,Rs. 1 Cr,529,5.0 ,13 Feet,,1.0,,,,,,Bansbari, Kathmandu
171,Rs. 2 Cr,201,3.0 ,14 Feet,South-East,2.0,,4.0,2.0,,,Hattiban, Lalitpur
172,Rs. 3.5 Cr,715,4.0 ,12 Feet,East,2.5,,5.0,3.0,,,Aarubari, Kathmandu
173,Rs. 2.4 Cr,690,3.2 ,13 Feet,East,2.5,,4.0,3.0,,,Imadol, Lalitpur
174,Rs. 2.65 Cr,2.1,3.0 ,13 Feet,West,2.5,,6.0,3.0,,,Tokha, Kathmandu
175,Rs. 2.7 Cr,969,3.2 ,14 Feet,South-West,2.5,,5.0,3.0,,,Imadol, Lalitpur
176,Rs. 3 Cr,750,5.0 ,12-18 Feet,,2.5,,,,,,Budhanilkantha, Kathmandu
178,Rs. 8.5 Cr,176,7.0 ,20 Feet,North,4.5,,34.0,34.0,,,New Buspark, Kathmandu
179,Rs. 3.75 Cr,208,3.2 ,9 Feet,South-West,4.5,,,,,,Ghattekulo, Kathmandu
180,Rs. 4 Cr,76 ,5.0 ,20 Feet,East,2.5,,5.0,4.0,,,Bhangal , Kathmandu
181,Rs. 4 Cr,357,4.1 ,12 Feet,North,2.5,,,,,,Lazimpat, Kathmandu
182,Rs. 3.5 Cr,315,6.0 ,10 Feet,East,2.5,,,,,,Rudreshwor, Kathmandu
183,Rs. 2.7 Cr,2.1,4.1 ,13 Feet,East,2.5,,4.0,3.0,,,Sitapaila, Kathmandu
184,Rs. 1.68 Cr,361,1.1 ,20 Feet,East,4.0,,3.0,3.0,,"Solar,Parquet,Bathroom,Drinking Water,Internet,Drainage,Terrace,Bed Room,Dining Room,Prayer Room,Shutter,+ 2 See More",New Baneshwor, Kathmandu
185,Rs. 2.9 Cr,1.1,4.2 ,13 Feet,North-West,3.0,,5.0,6.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Bed Room,Dining Room,Solar,Modular Kitchen,Parking,Internet,+ 4 See More",Matatirtha, Kathmandu
186,Rs. 1.3 Cr,90 ,3.2 ,13 Feet,West,1.0,,3.0,1.0,,,Dharmasthali, Kathmandu
187,Rs. 3.5 Cr,119,4.0 ,12 Feet,South,3.5,,5.0,3.0,,,Gongabu, Kathmandu
188,Rs. 3.55 Cr,267,4.1 ,13 Feet,West,2.5,,5.0,1.0,,,Kapan, Kathmandu
189,Rs. 11.5 Cr,253,17.0 ,13 Feet,,2.5,,6.0,4.0,,,Dhapasi, Kathmandu
190,Rs. 1.5 Lac/m,188,26.0 ,10 Feet,West,2.5,,2.0,3.0,,,Bansbari, Kathmandu
191,Rs. 14 Cr,337,12.0 ,13 Feet,East,2.0,,,,,,Naxal, Kathmandu
192,Rs. 3.6 Cr,236,5.0 ,13 Feet,North,3.0,,4.0,1.0,,,Imadol, Lalitpur
193,Rs. 1.98 Cr,1.6,4.2 ,10-16 Feet,,3.5,,,,,,Nepaltar, Kathmandu
194,Rs. 1.3 Cr,616,4.2 ,13 Feet,North-East,1.0,,2.0,1.0,,,Dharmasthali, Kathmandu
195,Rs. 1.2 Cr,129,3.0 ,10 Feet,East,1.0,,2.0,1.0,,,Goldhunga, Kathmandu
196,Rs. 1.7 Cr,360,2.2 ,13 Feet,North-East,2.5,,6.0,2.0,,,Lubhu, Lalitpur
197,Rs. 2.85 Cr,207,4.0 ,12-14 Feet,,3.0,,,,,,Thaiba, Lalitpur
198,Rs. 2.75 Cr,175,3.1 ,20 Feet,East,2.5,,5.0,3.0,,,Imadol, Lalitpur
199,Rs. 6.5 Cr,308,8.0 ,16 Feet,,2.5,,7.0,5.0,,,Hattiban, Lalitpur
200,Rs. 5.9 Cr,171,5.0 ,12-18 Feet,,2.5,,4.0,4.0,,,Bhaisepati, Lalitpur
201,Rs. 3.65 Cr,229,4.0 ,13 Feet,,2.5,,6.0,3.0,,,Budhanilkantha, Kathmandu
202,Rs. 2.75 Cr,1k ,3.0 ,12-18 Feet,,3.0,,,,,,Nayabazar, Kathmandu
203,Rs. 1.6 Cr,191,3.3 ,12-18 Feet,,2.5,,,,,,Chardhara, Kathmandu
204,Rs. 3.75 Cr,225,5.0 ,26/13 Feet,,3.5,,,,,,Kirtipur, Kathmandu
205,Rs. 2.5 Cr,395,4.0 ,12-18 Feet,,3.5,,,,,,Nagaun, Kathmandu
206,Rs. 3.87 Cr,34 ,4.0 ,30 Feet,North,3.0,,7.0,6.0,,,Nagarjun, Kathmandu
207,Rs. 4.5 Cr,105,5.2 ,12 Feet,North-East,2.5,,5.0,3.0,,,Tokha, Kathmandu
208,Rs. 2.45 Cr,160,3.0 ,12-18 Feet,East,2.5,,5.0,3.0,,,Mulpani, Kathmandu
209,Rs. 3.4 Cr,78 ,4.0 ,13 Feet,South-East,3.0,2 Cars & 5 Bikes,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Dining Room,Bed Room,Washing Machine,TV,Drainage,Solar,+ 19 See More",Hattigaunda, Kathmandu
211,Rs. 2.65 Cr,1.2,3.3 ,20 Feet,West,2.5,,6.0,4.0,,,Sitapaila, Kathmandu
212,Rs. 1.65 Cr,234,3.0 ,12-18 Feet,,1.0,,,,,,Kapan, Kathmandu
213,Rs. 3.6 Cr,410,5.0 ,20 Feet,South-West,2.5,,7.0,7.0,,,Bhaisepati, Lalitpur
214,Rs. 2.3 Cr,186,3.0 ,12-18 Feet,,2.5,,,,,,Pasikot, Kathmandu
215,Rs. 1.6 Cr,381,3.0 ,12 Feet,East,2.5,,,,,,Chunikhel, Kathmandu
216,Rs. 4.75 Cr,208,8.2 ,13 Feet,North,3.0,,7.0,6.0,,,Naikap, Kathmandu
217,Rs. 2.9 Cr,614,4.0 ,12 Feet,South,2.5,,,,,,Thulobharyang, Kathmandu
219,Rs. 6.25 Cr,792,6.0 ,20 Feet,East,2.5,,4.0,5.0,,,Budhanilkantha, Kathmandu
220,Rs. 3.4 Cr,152,3.1 ,15 Feet,East,2.5,,5.0,3.0,,,Khusibu, Kathmandu
222,Rs. 14 Cr,1.3,11.2 ,22 Feet,North-East,2.5,,,,,,Thulobharyang, Kathmandu
223,Rs. 3.75 Cr,141,4.0 ,13 Feet,East,2.0,,7.0,4.0,,,Bafal, Kathmandu
224,Rs. 4.25 Cr,362,4.2 ,20 Feet,East,2.5,,6.0,4.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Dining Room,Bed Room,AirCon,Washing Machine,TV,Drainage,+ 9 See More",Khumaltar, Lalitpur
225,Rs. 4.65 Cr,148,4.2 ,25 Feet,East,3.5,,,,,,Koteshwor, Kathmandu
226,Rs. 9 Cr,196,8.0 ,20 Feet,South,3.0,,6.0,4.0,,,Bafal, Kathmandu
229,Rs. 8.5 Cr,147,7.2 ,30 Feet,,6.0,,30.0,11.0,,,Ramkot, Kathmandu
230,Rs. 2.65 Cr,321,3.3 ,13 Feet,,2.5,,7.0,5.0,,,Kapan, Kathmandu
231,Rs. 3.99 Cr,194,4.0 ,13/18 Feet,,2.5,,,,,,Dhapasi, Kathmandu
232,Rs. 3.35 Cr,165,3.0 ,12-18 Feet,,4.5,,6.0,4.0,,,Kuleshwor, Kathmandu
233,Rs. 4.9 Cr,1.1,4.0 ,12-18 Feet,East,2.5,,6.0,5.0,,,Sano thimi, Bhaktapur
234,Rs. 3.7 Cr,571,6.1 ,10-12 Feet,,2.5,,5.0,3.0,,,Makalbari, Kathmandu
235,Rs. 2.75 Cr,331,3.0 ,20 Feet,,2.5,,5.0,3.0,,,Imadol, Lalitpur
236,Rs. 6.4 Cr,545,6.0 ,20 Feet,,2.5,,4.0,5.0,,,Bhaisepati, Lalitpur
237,Rs. 4 Cr,300,5.0 ,14 Feet,,1.5,,2.0,2.0,,,Taulung, Kathmandu
238,Rs. 2.99 Cr,64 ,4.0 ,20 Feet,West,2.5,,4.0,4.0,,,Phutung, Kathmandu
239,Rs. 23.5 Cr,113,6.2 ,20 Feet,East,,,,,,,Bouddha, Kathmandu
240,Rs. 3.85 Cr,370,4.0 ,13 Feet,North-East,2.5,,7.0,5.0,,,Budhanilkantha, Kathmandu
241,Rs. 3.25 Cr,148,5.0 ,13-20 Feet,South-West,3.0,,,,,,Duwakot, Bhaktapur
242,Rs. 3.75 Cr,112,3.2 ,16 Feet,South-West,2.5,,7.0,4.0,,"Earthquake Resistant,Marbel,Sofa,Dining Room,Bed Room,Water Purifier,Drainage,Solar,Power Backup,Garden,Internet,+ 3 See More",Narayantar, Kathmandu
244,Rs. 2.5 Cr,238,3.0 ,20 Feet,,2.5,,,,,,Imadol, Lalitpur
245,Rs. 1.96 Cr,137,3.0 ,9 Feet,East,4.0,,11.0,5.0,,"Earthquake Resistant,Marbel,Dining Room,Water Purifier,Drainage,Solar,Power Backup,Garden,Modular Kitchen,Parking,Internet,+ 2 See More",Nepaltar, Kathmandu
246,Rs. 2.84 Cr,182,5.0 ,22 Feet,East,3.0,,5.0,5.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Dining Room,Bed Room,Water Purifier,Drainage,Solar,Power Backup,+ 7 See More",Jarankhu, Kathmandu
247,Rs. 1.62 Cr,160,3.0 ,9 Feet,East,4.0,,9.0,6.0,,"Earthquake Resistant,Marbel,Dining Room,Water Purifier,Drainage,Solar,Power Backup,Garden,Modular Kitchen,Parking,Internet,+ 2 See More",Nepaltar, Kathmandu
248,Rs. 5.5 Cr,246,6.0 ,13 Feet,North-East,3.5,,10.0,6.0,,,Maitrinagar, Kathmandu
249,Rs. 19 Cr,1.6,24.0 ,20 Feet,North-West,4.5,,8.0,6.0,,,Thimi, Bhaktapur
250,Rs. 3.3 Cr,716,3.2 ,15-26 Feet,South-West,2.5,,6.0,4.0,,,Imadol, Lalitpur
251,Rs. 2.75 Cr,450,4.0 ,10-12 Feet,,2.5,,,,,,Bhangal , Kathmandu
252,Rs. 4.25 Cr,44 ,5.0 ,16 Feet,East,3.0,,7.0,6.0,,"Earthquake Resistant,Marbel,CC Camera,Amphitheatre,Dining Room,AirCon,Water Purifier,Washing Machine,TV,Drainage,Solar,+ 3 See More",Kharibot, Kathmandu
253,Rs. 2.1 Cr,512,4.0 ,20 Feet,North,2.0,,4.0,2.0,,,Dharmasthali, Kathmandu
254,Rs. 4.25 Cr,310,3.3 ,20 Feet,South,2.5,,5.0,,,,Imadol, Lalitpur
255,Rs. 7 Cr,422,6.0 ,13 Feet,West,3.5,,4.0,5.0,,,Bhaisepati, Lalitpur
257,Rs. 2.4 Cr,125,4.0 ,15 Feet,South,1.0,,2.0,1.0,,,Kapan, Kathmandu
258,Rs. 4.1 Cr,340,5.0 ,13 Feet,East,3.5,,8.0,6.0,,,Ochu Height, Lalitpur
259,Rs. 4.45 Cr,1.6,6.2 ,12 Feet,South,3.0,,6.0,3.0,,,Thapathali, Kathmandu
260,Rs. 4.5 Cr,632,10.3 ,13 Feet,North-East,2.5,,,,,,Kharibot, Kathmandu
261,Rs. 2.75 Cr,257,3.0 ,22 Feet,South,3.5,,6.0,7.0,,,Manamaiju, Kathmandu
262,Rs. 4.5 Cr,629,3.2 ,20 Feet,East,2.5,,4.0,4.0,,,Imadol, Lalitpur
263,Rs. 6.8 Cr,284,8.0 ,20 Feet,South-West,3.0,,5.0,6.0,,,Budhanilkantha, Kathmandu
265,Rs. 4.65 Cr,227,5.1 ,13 Feet,,2.5,,,,,,Jyotinagar, Kathmandu
266,Rs. 3.45 Cr,310,4.2 ,13 Feet,,2.0,,5.0,5.0,,,Hattigaunda, Kathmandu
268,Rs. 4.2 Cr,281,4.2 ,16 Feet,South-East,2.5,,6.0,5.0,,,Basundhara, Kathmandu
269,Rs. 4.3 Cr,305,3.2 ,14 Feet,East,2.5,,4.0,4.0,,,Imadol, Lalitpur
270,Rs. 2.7 Cr,190,3.0 ,20 Feet,West,2.5,,4.0,4.0,,,Harisiddhi, Lalitpur
271,Rs. 2.4 Cr,96 ,3.2 ,13 Feet,East,2.5,,4.0,3.0,,,Thaiba, Lalitpur
272,Rs. 2.9 Cr,265,3.2 ,14 Feet,North,2.5,,4.0,3.0,,,Dhapasi, Kathmandu
273,Rs. 3.6 Cr,266,5.0 ,12 Feet,North,2.5,,7.0,,,,Chandol, Kathmandu
274,Rs. 5.7 Cr,1.1,7.2 ,20 Feet,East,2.5,,4.0,3.0,,,Tyanglafat, Kathmandu
275,Rs. 4.17 Cr,841,4.0 ,13 Feet,,2.5,,4.0,5.0,,,Ganesh Chowk, Kathmandu
276,Rs. 2.99 Cr,744,3.1 ,13 Feet,,2.5,,6.0,5.0,,,Budhanilkantha, Kathmandu
277,Rs. 2 Cr,174,3.2 ,12 Feet,East,3.0,,6.0,2.0,,,Imadol, Lalitpur
278,Rs. 3.3 Cr,186,4.0 ,10-12 Feet,,2.5,,,,,,Grande Hospital, Kathmandu
279,Rs. 3.9 Cr/m,149,4.0 ,10-15 Feet,East,2.5,,6.0,5.0,,,Nakhipot, Lalitpur
280,Rs. 2.65 Cr,164,4.0 ,13 Feet,West,3.0,,8.0,8.0,,"Earthquake Resistant,Marbel,Parquet,Gym,Fridge,Sofa,Amphitheatre,Dining Room,Bed Room,Garden,Modular Kitchen,+ 3 See More",Setipakha, Lalitpur
281,Rs. 2.8 Cr,1.4,3.2 kattha,13 Feet,South,2.5,,6.0,4.0,,,Imadol, Lalitpur
282,Rs. 5.25 Cr,140,8.0 ,13 Feet,North,3.0,,9.0,4.0,,,Budhanilkantha, Kathmandu
283,Rs. 3.35 Cr,242,5.0 ,20 Feet,East,2.5,,7.0,4.0,,,Sanagaun, Lalitpur
285,Rs. 2.25 Cr,277,3.1 ,18 Feet,North,2.5,,4.0,3.0,,,Sitapaila, Kathmandu
286,Rs. 2.3 Cr,197,3.0 ,13 Feet,South,2.5,,7.0,3.0,,,Tikathali, Lalitpur
287,Rs. 3.5 Cr,194,4.0 ,13 Feet,South-East,2.5,,5.0,4.0,,,Pasikot, Kathmandu
288,Rs. 2.65 Cr,132,3.1 ,20 Feet,South,2.5,,4.0,4.0,,,Imadol, Lalitpur
289,Rs. 1.6 Cr,177,3.1 ,13 Feet,North-East,1.0,,2.0,1.0,,,Tikathali, Lalitpur
290,Rs. 2.7 Cr,297,2383 sq. ft,13 Feet,East,3.5,,6.0,4.0,,"Earthquake Resistant,Fridge,Parquet,Dining Room,Bed Room,Washing Machine,Solar,Modular Kitchen,Iron,Parking,Internet,+ 2 See More",Chapali, Kathmandu
292,Rs. 2.3 Cr,324,3.0 ,13 Feet,South,2.5,,7.0,3.0,,,Tikathali, Lalitpur
293,Rs. 2.3 Cr,108,3.0 ,13 Feet,South,2.5,,4.0,3.0,,,Tikathali, Lalitpur
294,Rs. 3.88 Cr,482,4.2 ,13 Feet,,3.5,,6.0,5.0,,,Sundarbasti, Kathmandu
295,Rs. 3.98 Cr,282,4.1 ,13 Feet,,2.5,,7.0,5.0,,,Mandikhatar, Kathmandu
296,Rs. 4.35 Cr,423,5.0 ,13 Feet,,2.5,,5.0,5.0,,,Budhanilkantha, Kathmandu
297,Rs. 2.3 Cr,526,3.0 ,10 Feet,North-West,3.0,,4.0,2.0,,,Syuchatar, Kathmandu
298,Rs. 2.3 Cr,494,3.0 ,10 Feet,South,2.5,,5.0,3.0,,,Kalanki, Kathmandu
299,Rs. 3.4 Cr,214,3.1 ,20 Feet,North,2.5,,,,,,Pepsicola, Kathmandu
300,Rs. 1.5 Cr,456,2.2 ,4 Feet,,3.0,,3.0,3.0,,,Satungal, Kathmandu
301,Rs. 3.8 Cr,95 ,3.0 ,20 Feet,South-West,3.5,,6.0,4.0,,,Baneshwor, Kathmandu
302,Rs. 3.5 Cr,496,6.0 ,10-12 Feet,,2.5,,12.0,4.0,,,Kapan, Kathmandu
303,Rs. 3.75 Cr,547,4.0 ,13 Feet,,2.5,,6.0,5.0,,,Mandikhatar, Kathmandu
304,Rs. 3.45 Cr,310,4.1 ,13 Feet,North,2.5,,5.0,4.0,,,Imadol, Lalitpur
305,Rs. 2.65 Cr,189,3.0 ,13 Feet,North,3.5,,5.0,5.0,,,Imadol, Lalitpur
306,Rs. 2.7 Cr,187,3.2 ,12-18 Feet,South,2.5,,4.0,4.0,,,Nakhipot, Lalitpur
307,Rs. 3.9 Cr,316,5.2 ,13 Feet,East,2.5,,5.0,4.0,,,Buddha Chowk, Kathmandu
309,Rs. 4 Cr,111,6.0 ,4 Feet,West,2.5,,6.0,4.0,,,New Buspark, Kathmandu
310,Rs. 5.5 Cr,183,3.0 ,26 Feet,North,6.0,,,,,,Samakhushi chowk, Kathmandu
311,Rs. 3.5 Cr,136,3.0 ,13 Feet,West,5.0,,17.0,12.0,,,New Buspark, Kathmandu
312,Rs. 3.5 Cr,1.2,3.2 ,13 Feet,South,2.5,,5.0,3.0,,,Chhauni, Kathmandu
313,Rs. 5.86 Cr,1.1,4.1 ,20 Feet,,3.0,,4.0,5.0,,,Bhaisepati, Lalitpur
314,Rs. 4.5 Cr,228,9.0 ,26 Feet,North,2.5,,5.0,2.0,,,Balkot, Bhaktapur
315,Rs. 5.5 Cr,217,5.2 ,13 Feet,North-West,3.5,,8.0,7.0,,,Dhumbarahi, Kathmandu
316,Rs. 5.1 Cr,800,4.2 ,12 Feet,South,2.5,,5.0,5.0,,,Bansbari, Kathmandu
317,Rs. 2.6 Cr,270,3.2 ,10 Feet,North,2.5,,5.0,2.0,,,Naya Basti, Kathmandu
318,Rs. 2.7 Cr,313,3.0 ,13 Feet,North,2.5,,5.0,3.0,,,Dhapasi, Kathmandu
319,Rs. 1.2 Cr,351,3.2 ,13 Feet,North,1.5,,,,,,Megha City, Kathmandu
320,Rs. 3.85 Cr,100,5.2 ,18 Feet,East,3.0,,7.0,5.0,,,Imadol, Lalitpur
321,Rs. 5.2 Cr,206,4.3 ,12 Feet,South,2.5,,4.0,5.0,,,Bansbari, Kathmandu
324,Rs. 2.55 Cr,325,3.0 ,13 Feet,North,2.5,,6.0,3.0,,,Imadol, Lalitpur
325,Rs. 2.85 Cr,245,3.2 ,,East,2.5,,,,,,Bojepokhari, Lalitpur
326,Rs. 8.5 Cr,608,5.0 ,27 Feet,,4.0,,10.0,6.0,,,Koteshwor, Kathmandu
329,Rs. 5.15 Cr,470,7.0 ,20 Feet,,2.5,,4.0,4.0,,,Sunakothi, Lalitpur
330,Rs. 2.2 Cr,490,3.0 ,13-20 Feet,,2.5,,5.0,5.0,,,Sampang Chowk, Lalitpur
331,Rs. 2.7 Cr,285,3.3 ,13 Feet,South-West,2.5,,7.0,3.0,,,Baniyatar, Kathmandu
332,Rs. 2.95 Cr,463,3.2 ,13 Feet,,2.5,,6.0,5.0,,,Kapan, Kathmandu
333,Rs. 2.8 Cr,475,3.0 ,13 Feet,,2.5,,6.0,3.0,,,Budhanilkantha, Kathmandu
334,Rs. 3.5 Cr,215,2.3 ,10-20 Feet,South-West,3.5,,6.0,4.0,,,Banasthali, Kathmandu
335,Rs. 14 Cr,356,8.2 ,13 Feet,South,2.0,,4.0,5.0,,,Bhaisepati, Lalitpur
336,Rs. 1.75 Cr,215,3.1 ,10-12 Feet,West,2.0,,6.0,3.0,,,Godawari, Lalitpur
337,Rs. 2.88 Cr,249,3.2 ,10 Feet,,2.5,,,,,,Budhanilkantha, Kathmandu
338,Rs. 4.65 Cr,1k ,6.2 ,13 Feet,North-West,3.5,,4.0,5.0,,,Mandikhatar, Kathmandu
339,Rs. 2.75 Cr,610,9.0 ,4 Feet,North-East,,,,,,,Dhapakhel, Lalitpur
340,Rs. 2.35 Cr,428,3.1 ,13 Feet,,2.5,,5.0,4.0,,,Kalanki, Kathmandu
341,Rs. 2.5 Cr,395,4.0 ,8 Feet,South-East,3.5,,4.0,2.0,,,Bouddha, Kathmandu
342,Rs. 5.1 Cr,385,6.0 ,20 Feet,East,2.5,,4.0,2.0,,,Dhapasi, Kathmandu
343,Rs. 6.35 Cr,926,2700 sq. ft,14 Feet,North-West,2.5,,5.0,5.0,,"Earthquake Resistant,Marbel,Parquet,Gym,Fridge,Sofa,AirCon,Bed Room,Dining Room,Amphitheatre,Water Purifier,+ 15 See More",Sanepa, Lalitpur
346,Rs. 7 Cr,308,5.3 ,14-20 Feet,,2.0,,4.0,4.0,,,Hepali Height, Kathmandu
347,Rs. 7.8 Cr,296,7.0 ,13 Feet,,2.5,,5.0,5.0,,,Bhaisepati, Lalitpur
348,Rs. 8.5 Cr,177,7.0 ,13 Feet,,2.5,,5.0,5.0,,,Bhaisepati, Lalitpur
349,Rs. 2.5 Cr,239,3.0 ,13 Feet,,2.5,,5.0,3.0,,,Imadol, Lalitpur
350,Rs. 1.65 Cr,297,3.0 ,13 Feet,,1.0,,2.0,1.0,,,Tikathali, Lalitpur
351,Rs. 3.45 Cr,195,4.0 ,13 Feet,,2.5,,6.0,3.0,,,Budhanilkantha, Kathmandu
352,Rs. 2.35 Cr,621,2.2 ,12 Feet,North,2.5,,6.0,2.0,,,Bafal, Kathmandu
353,Rs. 3.85 Cr,343,4.2 ,13 Feet,North,3.0,,4.0,5.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Bed Room,Dining Room,AirCon,Water Purifier,Washing Machine,TV,+ 9 See More",Kalanki, Kathmandu
354,Rs. 2.15 Cr,247,2.3 ,13 Feet,East,2.5,,9.0,3.0,,,Tikathali, Lalitpur
355,Rs. 3.9 Cr,298,7.0 ,12 Feet,East,2.5,,7.0,4.0,,,Dhapasi, Kathmandu
356,Rs. 2.75 Cr,75 ,3.0 ,20 Feet,West,3.5,,5.0,3.0,,,Imadol, Lalitpur
357,Rs. 2.95 Cr,195,3.1 ,13 Feet,,3.0,,6.0,5.0,,,Mandikhatar, Kathmandu
358,Rs. 1.6 Cr,605,4.0 ,10 Feet,South-East,2.0,,2.0,2.0,,,Chandragiri, Kathmandu
359,Rs. 1.7 Cr,556,2.2 ,13 Feet,,2.5,,,,,,Imadol, Lalitpur
360,Rs. 7.25 Cr,925,10.0 ,13 Feet,North-East,2.5,,6.0,3.0,,,Maharajgunj, Kathmandu
361,Rs. 3.85 Cr,87 ,4.5 ,13 Feet,,3.5,,6.0,5.0,,,Sundarbasti, Kathmandu
362,Rs. 2.95 Cr,267,4.0 ,16 Feet,South,2.5,,4.0,3.0,,,Golfutar, Kathmandu
363,Rs. 25 Cr,381,48.0 ,,,2.5,,6.0,6.0,,,Dhapasi, Kathmandu
364,Rs. 12 Cr,752,14.0 ,20 Feet,East,3.5,,5.0,5.0,,,Maharajgunj, Kathmandu
365,Rs. 2.6 Cr,73 ,3.0 ,13 Feet,East,2.5,,3.0,3.0,,,Imadol, Lalitpur
366,Rs. 3.25 Cr,85 ,3.3 ,23 Feet,West,2.5,,6.0,4.0,,,Imadol, Lalitpur
368,Rs. 4 Cr,139,4.2 ,13 Feet,South,2.5,,6.0,3.0,,,Imadol, Lalitpur
369,Rs. 3.15 Cr,130,3.1 ,13 Feet,West,2.5,,4.0,4.0,,,Imadol, Lalitpur
370,Rs. 3.3 Cr,94 ,3.2 ,13 Feet,West,2.5,,5.0,4.0,,,Imadol, Lalitpur
371,Rs. 2.7 Cr,152,4.1 ,13 Feet,North-West,2.5,,7.0,4.0,,,Tikathali, Lalitpur
372,Rs. 2.25 Cr,180,2.3 ,13 Feet,East,2.5,,4.0,4.0,,,Setipakha, Lalitpur
373,Rs. 3.3 Cr,111,3.3 ,16 Feet,South,2.5,,6.0,4.0,,,Ochu Height, Lalitpur
374,Rs. 3.6 Cr,47 ,3.0 ,20 Feet,East,2.5,,6.0,5.0,,,Raniban, Kathmandu
375,Rs. 3.99 Cr,179,5.0 ,13 Feet,East,2.0,,4.0,4.0,,,Nakkhu, Lalitpur
376,Rs. 1.7 Cr,185,4.0 ,10 Feet,East,2.5,,7.0,3.0,,,Changathali, Lalitpur
377,Rs. 2.45 Cr,165,3.2 ,13 Feet,South,2.5,,5.0,4.0,,,Ochu Height, Lalitpur
378,Rs. 3.5 Cr,157,4.0 ,13 Feet,West,2.5,,5.0,5.0,,,Imadol, Lalitpur
379,Rs. 10 Cr,2.5,20.0 ,20 Feet,North-West,2.5,,4.0,4.0,,,Pasikot, Kathmandu
380,Rs. 3 Cr,206,0.3 ,20 Feet,South,5.0,,,,,,Kwalakhu, Lalitpur
381,Rs. 3.8 Cr,126,6.0 ,13 Feet,East,2.5,,6.0,6.0,,,Sitapaila, Kathmandu
382,Rs. 2.8 Cr,181,3.0 ,13 Feet,,2.5,,6.0,3.0,,,Budhanilkantha, Kathmandu
383,Rs. 7.5 Cr,360,13.0 ,13 Feet,North,2.5,,5.0,5.0,,,Pepsicola, Kathmandu
384,Rs. 3.1 Cr,364,3.3 ,10 Feet,North,2.5,,4.0,3.0,,,Ichangu Narayan, Kathmandu
385,Rs. 3.8 Cr,329,5.1 ,13 Feet,East,2.5,,4.0,,,,Sitapaila, Kathmandu
386,Rs. 3.25 Cr,150,5.1 ,10 Feet,East,3.5,,5.0,2.0,,,Pasikot, Kathmandu
387,Rs. 3.67 Cr,148,3.0 ,8 Feet,North-East,4.0,,4.0,4.0,,,Maitidevi, Kathmandu
388,Rs. 2.16 Cr,156,3.0 ,11 Feet,North,3.5,,8.0,4.0,,,Nepaltar, Kathmandu
392,Rs. 2.19 Cr,149,3.0 ,11 Feet,East,3.5,,,,,,Nepaltar, Kathmandu
393,Rs. 2.8 Cr,96 ,3.2 ,13 Feet,South,2.5,,5.0,3.0,,,Nakhipot, Lalitpur
394,Rs. 1.75 Cr,165,3.3 ,10 Feet,South-East,2.5,,3.0,3.0,,,Ramkot, Kathmandu
395,Rs. 2.7 Cr,273,3.5 ,20 Feet,South-West,2.5,,5.0,4.0,,,Nakhipot, Lalitpur
396,Rs. 5.8 Cr,104,8.3 ,12 Feet,,2.5,,,,,,Bafal, Kathmandu
397,Rs. 2.55 Cr,163,3.2 ,13 Feet,South,2.5,,6.0,5.0,,,Hattiban, Lalitpur
398,Rs. 3.65 Cr,165,4.0 ,13 Feet,East,2.5,,,,,,Tenzing Chowk, Kathmandu
399,Rs. 2.95 Cr,174,3.1 ,13 Feet,,2.5,,6.0,5.0,,,Mandikhatar, Kathmandu
400,Rs. 3.6 Cr,220,5.0 ,12 Feet,North,2.5,,7.0,3.0,,,Chandol, Kathmandu
401,Rs. 4.5 Cr,183,3.0 ,16 Feet,East,,,6.0,4.0,,,Old Baneshwor, Kathmandu
402,Rs. 4.6 Cr,332,4358 sq. ft,27 Feet,North-East,3.5,,5.0,6.0,,,Dhobikhola, Kathmandu
403,Rs. 1.78 Cr,237,3.1 ,8-10 Feet,,1.5,,,,,,Bhangal , Kathmandu
404,Rs. 3.45 Cr,181,5.0 ,13 Feet,,,,,,,,Hattigaunda, Kathmandu
405,Rs. 1.88 Cr,308,2.2 ,12 Feet,East,2.5,,,,,,Kapan, Kathmandu
407,Rs. 1.5 Cr,245,3.0 ,13 Feet,West,1.5,,3.0,2.0,,,Phutung, Kathmandu
408,Rs. 6.5 Cr,80 ,5.2 ,12-18 Feet,,4.0,,,,,,Kadaghari, Kathmandu
409,Rs. 2.55 Cr,109,3.0 ,10 Feet,West,2.5,,8.0,3.0,,,Lolang, Kathmandu
410,Rs. 3.3 Cr,90 ,2.3 ,25 Feet,North,4.5,,,,,,Balkumari, Lalitpur
411,Rs. 2.5 Cr,80 ,3.1 ,13 Feet,North,2.5,,6.0,3.0,,,Tikathali, Lalitpur
