price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,LOCATION,ROAD DESCRIPTION,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,url,MAIN ROAD DISTANCE,ROAD TO HOUSE,FLAT AREA,PARKING AREA
"Rs. 50,000 (Negotiable)
(Fifty thousand per month)",0-34-0-0,,,,,,,,"NEAR MADHYAPUR HOSPITAL, BHAKTAPUR, NEPAL",36,WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB05152,4 YEARS AGO,3562,,https://www.gharbazar.com/property/details/land-at-madhyapur-thimi-5152,200M,,,
"Rs. 2,85,00,000 (Negotiable)
(Two crore eighty five lakh )",0-4-1-1,2637 SQUARE FEET,,5,2,3,7,3.5,"SWYAMBHU, KATHMANDU, NEPAL",9 METER,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10712,1 MONTH AGO,1046,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-swayambhu-10712,500M,,,
,0-5-3-1,,,4,1,1,4,2.5,"SITAPAILA, KATHMANDU, NEPAL",22 FEET,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06359,4 YEARS AGO,7880,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-sitapaila-6359,,,,
,,,,,,,,,"BUDDHANAGAR, KATHMANDU, NEPAL",,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10798,2 WEEKS AGO,41,,https://www.gharbazar.com/property/details/house-at-buddhanagar-10798,,,,
"Rs. 1,00,00,000 (Negotiable)
(n/a)",0-6-1-0,,,,,,,,"BAKHUNDOL LALITPUR, KATHMANDU, NEPAL",13FT / 20FT,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10604,1 MONTH AGO,54,,https://www.gharbazar.com/property/details/land-at-bakhundol-lalitpur-10604,,350 METERS FROM MAIN ROAD,,
"Rs. 55,000 (Negotiable)
(Fifty five thousand per month)",950 SQUARE FEET,,,,,,,,"HATTIBAN, LALITPUR, NEPAL",20 FT,NONE,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09766,5 MONTHS AGO,1953,NOT FURNISHED,https://www.gharbazar.com/property/details/apartment-at-classic-tower-satdobato-9766,,,,
"Rs. 38,00,000 (Negotiable)
(Thirty eight lakh )",0-8-0-0,,,,,,,,"KAGESHWORI, KATHMANDU, NEPAL",72 FT,SOUTH-WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB09676,10 MONTHS AGO,1061,,https://www.gharbazar.com/property/details/land-at-indrayani-shankharapur-kathmandu-9676,,,,
"Rs. 4,60,00,000 (Negotiable)
(Four crore sixty lakh )",0-7-0-0,,,5,2,2,,2.5,"BUDDHANILKANTHA, KATHMANDU, NEPAL",13 FT / 20 FT,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10338,5 MONTHS AGO,98,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-buddhanilkantha-10338,,500 METERS,,
"Rs. 3,00,000 (Negotiable)
(3 lakh only)",1-10-0-0,,,,,,,6,"BAGDOL, LALITPUR, NEPAL",6 LANE ROAD,WEST,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB02766,2 YEARS AGO,5088,SEMI FURNISHED,https://www.gharbazar.com/property/details/commercial-building-at-bagdol-2766,,,,
"Rs. 3,09,00,000 (Negotiable)
(Three crore nine lakh)",0-14-2-0,,,,,,,,"KUMARIGAL, KATHMANDU, NEPAL",13FT,SOUTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04612,4 YEARS AGO,1666,,https://www.gharbazar.com/property/details/land-house-at-kumarigal-4612,,,,
"Rs. 32,00,000 (Negotiable)
(Thirty two lakh per aana)",4-0-0-0,4-0-0-0,,,,,,,"MULPANI, DANCHI, THALI, KATHMANDU, NEPAL",6 LANE ROAD,SOUTH-EAST,LAND (RESIDENTIAL),NONE,GB06996,4 YEARS AGO,3136,,https://www.gharbazar.com/property/details/land-at-mulpani-6996,,,,
