,price,LAND AREA,HOUSE AREA,Unnamed: 3,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,LOCATION,ROAD DESCRIPTION,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,url,MAIN ROAD DISTANCE,ROAD TO HOUSE,FLAT AREA,PARKING AREA,District
350,"Rs. 240 (Negotiable)
(2 Aana 3 paisa)",0-2-0-3,0-2-3-0,,5.0,2.0,2.0,,2.5,IMADOL SITAL HEIGHT,13 FEET,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10399,4 MONTHS AGO,88,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-imadol-sital-height-10399,,IMADOL DOWNTOWN,,, LALITPUR
351,"Rs. 70,00,000
(Seventy lakh )",0-4-2-0,,,,,,,,PANCHAMUKHI HANUMAN MANDIR  BOUDHADWAR MARG  KATHMANDU,10 FEET,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10786,2 WEEKS AGO,20,,https://www.gharbazar.com/property/details/land-at-panchamukhi-hanuman-mandir-boudhadwar-marg-kathmandu-10786,,,,, KATHMANDU
352,"Rs. 12,00,00,000 (Negotiable)
(Twelve crore )",0-6-1-0,,,,,,,3.0,KUPANDOLE,,NONE,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB03436,4 YEARS AGO,1564,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-kupandole-3436,,,,, LALITPUR
353,"Rs. 2,95,000 / month (Negotiable)
(Two lakh ninety five thousand )",0-8-0-0,0-3-0-0,,5.0,2.0,1.0,,2.5,BUDHANILKANTHA,20FT,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10256,5 MONTHS AGO,83,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-budhanilkantha-10256,,,,, KATHMANDU
354,,0-4-0-0,,,,,,,,BHAISIPATI,20 FT,NONE,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB10073,7 MONTHS AGO,941,NOT FURNISHED,https://www.gharbazar.com/property/details/bungalow-at-bhaisipati-10073,,,,, LALITPUR
355,"Rs. 65,000 / month (Negotiable)
(Sixty five thousand )",0-3-0-0,,,3.0,3.0,1.0,,2.5, BHAKTAPUR,,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10582,2 MONTHS AGO,53,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-suryabinayak-katunje-bhaktapur-10582,,500 MTR FROM THE ARANIKO HIGHWAY,,, KATHMANDU
356,"Rs. 1,87,50,000 (Negotiable)
(1 crore 87 lakh 50 thousand)",0-4-1-3,,,,,,,,KHUMALTAR,,EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB04446,6 YEARS AGO,2136,,https://www.gharbazar.com/property/details/land-at-khumaltar-4446,,,,, LALITPUR
357,"Rs. 35,00,000 (Negotiable)
(Thirty five lakh per aana)",2-8-0-0,,,,,,,,JORPATI,20 FEET,EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10150,6 MONTHS AGO,137,,https://www.gharbazar.com/property/details/land-at-jorpati-10150,,,,, KATHMANDU
358,"Rs. 4,00,00,000 (Negotiable)
(Four crore )",0-4-2-0,2835 SQUARE FEET,,6.0,2.0,2.0,3.0,4.0, GOLFUTAR,26 FEET,SOUTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07259,2 YEARS AGO,4348,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-golfutar-7259,,,,, KATHMANDU
359,"Rs. 1,70,00,000 (Negotiable)
(One crore seventy lakh )",0-2-0-2,,,7.0,1.0,3.0,4.0,3.5,BOUDHA,10 FT,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03966,2 YEARS AGO,7002,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-mahankal-3966,150M,150,,, KATHMANDU
360,,0-6-0-0,2053 SQUARE METER,,14.0,3.0,4.0,,3.0,BUDHANILNKANTHA,13 FEET,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10378,4 MONTHS AGO,103,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-budhanilnkantha-10378,,300M AWAY FROM MAIN ROAD,,, KATHMANDU
361,"Rs. 1,60,00,000 (Negotiable)
(One crore sixty lakh )",0-3-1-0,0-3-1-0,,2.0,1.0,1.0,,1.0,SITAL TOLE,12,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10341,5 MONTHS AGO,95,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-land-at-sital-tole-10341,,1 KM FROM KIST HOAPITAL,,, LALITPUR
362,"Rs. 1,30,00,000 (Negotiable)
(One crore thirty lakh )",680 SQUARE FEET,,,,,,,,THADO DUNGA,20 FT,EAST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09738,11 MONTHS AGO,1886,NOT FURNISHED,https://www.gharbazar.com/property/details/apartment-at-bajra-and-shangrila-residency-9738,,,,, LALITPUR
363,"Rs. 1,25,000 / month (Negotiable)
(One lakh twenty five thousand )",2-4-0-0,,,,,,,, BUDHANILKANTHA,12 FT,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10456,4 MONTHS AGO,48,,https://www.gharbazar.com/property/details/land-at-italitar-budhanilkantha-10456,,10-12 FEET,,, KATHMANDU
364,"Rs. 30,00,000 (Negotiable)
(Thirty lakh )",7 DHUR,,,,,,,,BANU CHOWK DHARAN,20 FEET,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10168,6 MONTHS AGO,114,,https://www.gharbazar.com/property/details/land-at-banu-chowk-dharan-10168,,,,, SUNSARI
365,"Rs. 45,00,000 (Negotiable)
(Forty five lakh )",0-3-3-0,,,,,,,, KATHMANDU,17 FT,SOUTH,LAND (RESIDENTIAL),NONE,GB10290,2 MONTHS AGO,87,,https://www.gharbazar.com/property/details/land-at-ramkot-kathmandu-10290,,"APPROXIMATELY 2 KM FROM BAFAL CHOWK, 200 M FROM WILSON ACADEMY",,, KATHMANDU
366,"Rs. 60,00,000 (Negotiable)
(Sixty lakh per aana)",0-4-0-0,,,,,,,,GOLFUTAR,20 FT,NORTH,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10820,3 DAYS AGO,289,,https://www.gharbazar.com/property/details/high-on-demand-land-at-golfutar-kathmandu-book-now-10820,,,,, KATHMANDU
367,"Rs. 71,00,000 (Negotiable)
(Total)",0-4-1-1,,,,,,,,GODAMCHAUR  GODAWARI  LALITPUR,20FEET,SOUTH-EAST,LAND (RESIDENTIAL),NONE,GB10575,2 MONTHS AGO,72,,https://www.gharbazar.com/property/details/land-at-godamchaur-godawari-lalitpur-10575,,20FEET,,, KATHMANDU
368,"Rs. 8,00,00,000 (Negotiable)
(Eight crore )",0-8-0-0,4400 SQUARE FEET,,,,,,,HATTIBAN,32 FEET,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10276,3 WEEKS AGO,4614,SEMI FURNISHED,https://www.gharbazar.com/property/details/exquisite-house-in-prime-location-of-hattiban-zodiac-ville-10276,,,,, LALITPUR
369,"Rs. 1,85,00,000 (Negotiable)
(One crore eighty five lakh )",0-4-0-2,,,6.0,2.0,2.0,4.0,2.5,JADIBUTI,10 FEET,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06698,4 YEARS AGO,7536,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-jadibuti-6698,50M,,,, KATHMANDU
370,"Rs. 1,70,00,000 (Negotiable)
(1 crore 70 lakh)",1 KATTHA,,,5.0,1.0,1.0,3.0,2.0,BHARATPUR,26 FT PITCHED ROAD,,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04306,5 YEARS AGO,2006,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-bharatpur-4306,,,,, CHITWAN
371,,0-,,,,,,,,PANIPOKHARI,,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10662,1 MONTH AGO,36,,https://www.gharbazar.com/property/details/house-at-panipokhari-10662,,,,, KATHMANDU
372,,0-4-0-0 TO 0-14-0-0,,,,,,,,SIPADOLE,20 FT,SOUTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB05690,4 YEARS AGO,4471,,https://www.gharbazar.com/property/details/land-at-sipadole-5690,700M,,,, BHAKTAPUR
373,"Rs. 28,00,000 (Negotiable)
(Twenty eight lakh )",0-3-0-2,,,,,,,,SEEPADOL,20 FT,EAST-SOUTH-WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10576,2 WEEKS AGO,881,,https://www.gharbazar.com/property/details/invest-in-seepadol-height-8-bhaktapur-limited-plots-available-10576,2M,,,, BHAKTAPUR
374,"Rs. 14,50,000
(Fourteen lakh fifty thousand )",3-2-0-0,,,,,,,,TAUKHEL,16FT,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10710,1 MONTH AGO,28,,https://www.gharbazar.com/property/details/land-at-taukhel-10710,,,,, KATHMANDU
375,"Rs. 1,30,00,000 (Negotiable)
(One crore thirty lakh )",0-3-2-0,,,4.0,1.0,1.0,1.0,,वेशीगाँउ जाेरपाटी,13,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10527,3 MONTHS AGO,77,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at--------10527,,,,, KATHMANDU
376,"Rs. 60 (Negotiable)
(Rs. 60 - Rs. 120 per square feet)",3244 SQUARE FEET,,,,,,,4.0, HETAUDA,,SOUTH,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB07948,2 YEARS AGO,1888,NOT FURNISHED,https://www.gharbazar.com/property/details/commercial-building-at-hetauda-7948,,,,, MAKWANPUR
377,"Rs. 6,50,00,000 (Negotiable)
(6)",0-6-0-0,,,,,,,,IMADOL SITAL HEIGHT,16 FEET,NONE,HOUSE (RESIDENTIAL),NONE,GB10268,5 MONTHS AGO,111,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-imadol-sital-height-10268,,,,, LALITPUR
378,"Rs. 30,00,000 (Negotiable)
(Thirty lakh )",0-,,,,,,,,LAZIMPAT,16 FEET,NONE,RESTAURANT (RESIDENTIAL),PILLAR SYSTEM,GB10172,6 MONTHS AGO,44,NOT FURNISHED,https://www.gharbazar.com/property/details/restaurant-at-lazimpat-10172,,,,, KATHMANDU
379,"Rs. 15,50,000 (Negotiable)
(15.5 lakh per aana)",0-8-0-0,,,,,,,,SUNAKOTHI,11,EAST,LAND (RESIDENTIAL),NONE,GB03060,7 YEARS AGO,2116,,https://www.gharbazar.com/property/details/land-at-sunakothi-3060,,,,, LALITPUR
380,"Rs. 30,00,000 / month (Negotiable)
(Thirty lakh per lakh)",0-12-0-0,,,,,,,, BUDHANILKANTHA,20 FEET,NORTH-WEST,LAND (RESIDENTIAL),NONE,GB10087,7 MONTHS AGO,89,,https://www.gharbazar.com/property/details/land-at-badeli-budhanilkantha-kathmandu-10087,,INSIDE DEUBA CHOW,,, KATHMANDU
381,"Rs. 1,40,00,000
(One crore forty lakh )",0-14-0-0,,,,,,,,NAXAL,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10743,4 WEEKS AGO,88,,https://www.gharbazar.com/property/details/house-at-naxal-10743,,100M FROM MAIN ROAD,,, KATHMANDU
382,"Rs. 1,35,00,000 (Negotiable)
(One crore thirty five lakh )",0-3-0-0,0-3-0-0,,3.0,1.0,1.0,2.0,1.0,THANKOT,16 FEET,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10226,5 MONTHS AGO,132,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-thankot-10226,,FIRST TURNING FROM TRIBHUWAN PARL,,,KATHMANDU
383,"Rs. 1,42,00,000 (Negotiable)
(1 crore 42 lakh)",0-3-0-0,,,5.0,,1.0,2.0,2.5,KHADKA TOLE,20,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05716,5 YEARS AGO,3529,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-budhanilkantha-5716,300M,,,, KATHMANDU
384,"Rs. 16,00,000 (Negotiable)
(Sixteen lakh per aana)",0-10-0-0,,,,,,,,GODAMCHAUR  GODAWARI  LALITPUR,13 FEET,NONE,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10059,7 MONTHS AGO,1184,,https://www.gharbazar.com/property/details/land-at-bistachap-godamchaur-10059,,,,, LALITPUR
385,"Rs. 21,50,000 (Negotiable)
(Twenty one lakh fifty thousand per aana)",0-4-2-3,,,,,,,,IMADOL,13 FT,SOUTH,LAND (RESIDENTIAL),PILLAR SYSTEM,GB06251,4 YEARS AGO,4762,,https://www.gharbazar.com/property/details/land-at-imadol-6251,,,,, LALITPUR
386,"Rs. 30,00,000 (Negotiable)
(Thirty Lakhs per anna)",0-7-3-0,,,,,,,,GOTHATAR,65 FT,WEST,LAND (RESIDENTIAL),NONE,GB05215,5 YEARS AGO,4193,,https://www.gharbazar.com/property/details/land-at-gothatar-5215,500M,,,, KATHMANDU
387,"Rs. 40,00,000 (Negotiable)
(Forty lakh )",0-10-0-0,,,,,,,,,11 FT,NONE,LAND (RESIDENTIAL),NONE,GB01982,2 YEARS AGO,3186,,https://www.gharbazar.com/property/details/land-at-chabahil-1982,150M,,,,
388,"Rs. 80,00,000 (Negotiable)
(Eighty lakh )",1-2-0-0,,,,,,,,DHOBHIGHAT,40 FT,NONE,LAND (RESIDENTIAL),NONE,GB10499,3 MONTHS AGO,892,,https://www.gharbazar.com/property/details/land-at-near-dhobhighat-rignroad-lalitpur-10499,,,,, LALITPUR
389,"Rs. 3,20,000 (Negotiable)
(Three lakh twenty thousand per month)",3100 SQUARE FEET,,,,,,,,DHOLAHITI,20 FT,NORTH-EAST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB09775,10 MONTHS AGO,744,NOT FURNISHED,https://www.gharbazar.com/property/details/bungalow-at-dholahiti-9775,,,,, LALITPUR
390,"Rs. 55,00,000 (Negotiable)
(Fifty five lakh per aana)",0-16-0-0,,,,,,,,SANEPA,10 TO 12,EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10081,7 MONTHS AGO,103,,https://www.gharbazar.com/property/details/land-at-sanepa-10081,,,,, LALITPUR
391,"Rs. 3,10,00,000 (Negotiable)
(Three crore ten lakh )",,1100 SQUARE FEET,,12.0,6.0,6.0,,6.0,SUNDHARA,20 FEET,EAST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB10212,5 MONTHS AGO,174,NOT FURNISHED,https://www.gharbazar.com/property/details/apartment-at-sundhara-10212,,SUNDHARA,,, KATHMANDU
392,"Rs. 3,50,00,000 (Negotiable)
(3 Crore 50 Lakh)",0-13-0-0,,,8.0,2.0,2.0,7.0,2.5,GANESTHAN,22 FT.,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB01149,2 YEARS AGO,3176,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-gongabu-1149,20M,,,, KATHMANDU
393,"Rs. 2,90,00,000 (Negotiable)
(Two crore ninety lakh )",0-8-0-0,,,2.0,1.0,1.0,2.0,1.0,MAKALBARI,14FT,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03010,2 YEARS AGO,2524,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-makalbari-3010,,,,, KATHMANDU
394,"Rs. 8,00,000 (Negotiable)
(8 lakh per anna)",0-12-0-0,,,,,,,, SANGA,200 FT,SOUTH-EAST,SCHOOL (RESIDENTIAL),PILLAR SYSTEM,GB02977,2 YEARS AGO,2944,NOT FURNISHED,https://www.gharbazar.com/property/details/land-and-house-at-sanga-2977,16M,,,, KATHMANDU
395,"Rs. 50,000 (Negotiable)
(Fifty thousand per month)",0-8-0-0,,,,,,14.0,7.0,BALKHU,18 FEET,WEST,COMMERCIAL BUILDING (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07650,3 YEARS AGO,1732,NOT FURNISHED,https://www.gharbazar.com/property/details/flats-at-balkhu-7650,100M,,1426 SQUARE FEET,, KATHMANDU
396,,0-3-2-0,0-3-0-0,,7.0,2.0,2.0,,3.0, JORPATI,16 FEET,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10270,5 MONTHS AGO,117,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-narayantar-jorpati-10270,,8 FEET,,, KATHMANDU
397,"Rs. 2,75,00,000 (Negotiable)
(Two crore seventy five lakh )",0-4-0-0,,,10.0,,2.0,4.0,2.5,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02493,2 YEARS AGO,5446,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-tyanglaphat-2493,,,,,
398,"Rs. 5,50,00,000 (Negotiable)
(Five crore fifty lakh per aana)",155 SQUARE METER,123 SQUARE METER,,,,,,,MAHABOUDHA,13 FT,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10393,4 MONTHS AGO,754,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-mahaboudha-bazar-10393,100M,,,, KATHMANDU
399,"Rs. 3,60,00,000 (Negotiable)
(3.60 cord )",0-,0-4 AANA-0-0,,4.0,2.0,2.0,,2.5, NEAR BUDDHA PARTY PALACE.,13 FT,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10318,5 MONTHS AGO,56,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-mahalaxmi-10318,,"2.5 KM FROM RING ROAD, GWARKO , KRISHNA MANDIR",,, KATHMANDU
400,"Rs. 47,50,000 (Negotiable)
(47.5 lakh Anna)",0-3.5 ANNA-0-0,,,,,,,, OCHO HEIGHT,16 FT ROAD AND DRAINAGE FACILITY,EAST,LAND (RESIDENTIAL),NONE,GB10319,5 MONTHS AGO,86,,https://www.gharbazar.com/property/details/land-at-imadol-ocho-height-10319,,WAY TO RING ROAD GWARKO LOOVO ROAD KRISHNA MANDIR,,, KATHMANDU
401,"Rs. 60,000 / month (Negotiable)
(Sixty thousand )",0-5-0-0,,,6.0,2.0,2.0,3.0,2.5, GREEN HILL CITY,13 FEET,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10589,2 MONTHS AGO,650,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-green-hill-city-mulpani-10589,,,,, KATHMANDU
402,"Rs. 49,65,000 (Negotiable)
(Forty nine lakh sixty five thousand)",1507 SQUARE FEET,,,,,,2.0,5.0,PULCHOWK,26 FEET,NONE,OFFICE SPACE (RESIDENTIAL),PILLAR SYSTEM,GB07658,3 YEARS AGO,1674,FULLY FURNISHED,https://www.gharbazar.com/property/details/office-space-at-pulchowk-7658,,,1507 SQUARE FEET,, LALITPUR
403,"Rs. 4,80,000 (Negotiable)
(Four lakh eighty thousand )",11 DHUR,,,,,,,,JANAKPUR PULCHOUK RAILWAY STATION,32 FEET,NORTH,LAND (RESIDENTIAL),NONE,GB09987,8 MONTHS AGO,81,,https://www.gharbazar.com/property/details/land-at-janakpur-pulchouk-railway-station-9987,,BEGA SHIVPUR,,, DHANUSA
404,"Rs. 1,35,00,000 (Negotiable)
(One crore thirty five lakh )",0-2-3-1,,,5.0,1.0,1.0,3.0,2.5, SANAGAU,13 FEET PITCHED ROAD,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06969,4 YEARS AGO,4117,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-sanagau-6969,100M,,,, LALITPUR
405,"Rs. 5,00,00,000 (Negotiable)
(Five crore )",0-6-0-0,,,,,,,,SHANTINAGAR,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10777,3 WEEKS AGO,28,,https://www.gharbazar.com/property/details/house-at-shantinagar-10777,,,,, KATHMANDU
406,"Rs. 2,80,00,000 (Negotiable)
(Two crore eighty lakh )",0-8-2-2,,,6.0,1.0,1.0,4.0,2.5,NEAR PEACE POINT SCHOOL,12 FT,SOUTH,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB05407,2 YEARS AGO,5127,SEMI FURNISHED,https://www.gharbazar.com/property/details/bungalow-at-imadol-height-5407,300M,,,, LALITPUR
407,"Rs. 90,00,000 (Negotiable)
(Ninety lakh )",2800 SQUARE FEET,1800 SQUARE FEET,,,,,2.0,,KHUMALTAR,13 FT,NONE,RESTAURANT (RESIDENTIAL),PILLAR SYSTEM,GB10442,4 MONTHS AGO,383,NOT FURNISHED,https://www.gharbazar.com/property/details/resturant-at-khumaltar-10442,,,,, LALITPUR
408,,3 KATTHA,,,,,,,,HETAUDA,20 FT,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10650,1 MONTH AGO,55,,https://www.gharbazar.com/property/details/land-at-hetauda-10650,,,,, KATHMANDU
409,"Rs. 4,05,00,000 (Negotiable)
(Four crore five lakh )",0-5-0-0,,,5.0,1.0,1.0,4.0,2.5,BUDHANILKANTHA,20 FEET,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10018,7 MONTHS AGO,102,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-budhanilkantha-10018,,,,, KATHMANDU
410,"Rs. 2,00,00,000 (Negotiable)
(Two crore)",0-4-2-0,4500 SQUARE FEET,,8.0,1.0,3.0,3.0,3.0,KAPAN,13 FT,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05356,4 YEARS AGO,4550,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-kapan-5356,1000M,100,,, KATHMANDU
411,"Rs. 41,00,000 (Negotiable)
(Forty one lakh )",0-,,,,,,,,HARISHIDDHI,20,NONE,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB10826,YESTERDAY,22,NOT FURNISHED,https://www.gharbazar.com/property/details/apartment-at-harishiddhi-10826,,NEXT TO LITTLE ANGEL SCHOOL,,, LALITPUR
412,"Rs. 1,00,00,000 (Negotiable)
(One crore )",1 KATTHA,,,,,,,,EAST OF RADDHAKRISHNA MANDIR ROAD,20,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB09997,8 MONTHS AGO,65,,https://www.gharbazar.com/property/details/land-at-east-of-raddhakrishna-mandir-road-9997,,,,, MORANG
413,"Rs. 7,50,00,000
(Seven crore fifty lakh )",0-6-1-0,,,5.0,1.0,1.0,,2.5,BALUWATAR,13FT/20FT,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10714,1 MONTH AGO,84,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-baluwatar-10714,,150M FROM MAIN ROAD,,, KATHMANDU
414,"Rs. 70,50,000 (Negotiable)
(Seventy lakh fifty thousand )",0-3-1-3,,,,,,,,KITINI,13,SOUTH-WEST,LAND (RESIDENTIAL),NONE,GB10584,2 MONTHS AGO,856,,https://www.gharbazar.com/property/details/land-at-godawari-lalitpur-10584,350M,30,,, LALITPUR
415,"Rs. 55,00,000 (Negotiable)
(55 lakh per aana)",0-17-0-0,,,,,,,,KUMARITHAN,12,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04850,5 YEARS AGO,7267,NOT FURNISHED,https://www.gharbazar.com/property/details/house-land-at-chabahil-4850,100M,,,, KATHMANDU
416,"Rs. 3,95,00,000 (Negotiable)
(4)",0-,,,,,,,,IMADOL RAJKULO,20 FEET,NONE,HOUSE (RESIDENTIAL),NONE,GB10269,5 MONTHS AGO,55,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-imadol-rajkulo-10269,,,,, KATHMANDU
417,"Rs. 3,75,00,000 (Negotiable)
(Three crore seventy five lakh )",0-4-2-3,,,6.0,2.0,2.0,,3.0, BUDHANILKANTHA,13 FEET,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10166,6 MONTHS AGO,105,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-bhangal-budhanilkantha-10166,,,,, KATHMANDU
418,"Rs. 5,00,000 (Negotiable)
(Five lakh )",1-4-0-0,4875 SQUARE FEET,,4.0,5.0,1.0,5.0,3.0,AIRPORT,20 FT,NORTH-EAST,BUNGALOW (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10446,4 MONTHS AGO,1065,SEMI FURNISHED,https://www.gharbazar.com/property/details/bungalow-at-airport-gate-10446,10M,,,, KATHMANDU
419,"Rs. 2,50,000 (Negotiable)
(Two lakh fifty thousand per dhur)",10 DHUR,,,,,,,, JHAPA,13 FT,NORTH-EAST-SOUTH,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10694,4 DAYS AGO,526,,https://www.gharbazar.com/property/details/prime-plots-for-sale-near-east-west-highway-jhapa-10694,,,,, KATHMANDU
420,"Rs. 30,00,000 (Negotiable)
(30 lakh)",8 DHUR,,,,,,,,BIRTAMODE,18 FT GRAVELED ROAD,NORTH,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04409,4 YEARS AGO,2806,,https://www.gharbazar.com/property/details/land-at-birtamode-4409,200M,,,, JHAPA
421,"Rs. 56,00,000 (Negotiable)
(Fifty six lakh )",3-9-1-2,,,,,,,,KAVRE,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10775,3 WEEKS AGO,24,,https://www.gharbazar.com/property/details/land-at-kavre-10775,,1KM,,, KATHMANDU
422,"Rs. 12,00,000 (Negotiable)
(Twelve lakh )",0-4-2-0,,,,,,,,CHAPAGAUN,20FT,EAST-SOUTH-WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10509,3 MONTHS AGO,479,,https://www.gharbazar.com/property/details/land-at-muldole-chapagaun-10509,,,,, LALITPUR
423,"Rs. 2,65,00,000 (Negotiable)
(Two crore sixty five lakh )",0-4-0-0,0-4-0-0,,5.0,3.0,3.0,,3.0,CHANDRANAGAR TOLE MAHALAXMINAGARPALIKA-4  IMADOLE,,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10531,3 MONTHS AGO,101,,https://www.gharbazar.com/property/details/house-at-chandranagar-tole-mahalaxminagarpalika-4-imadole-10531,,"RIGHT FROM TEMPOPARAK ,IMADOLE",,, LALITPUR
424,"Rs. 38,000 (Negotiable)
(Thirty eight thousand )",685 SQUARE FEET,,,3.0,,,1.0,,LAZIMPAT,30 FT,NORTH,OFFICE SPACE (RESIDENTIAL),PILLAR SYSTEM,GB09271,1 YEAR AGO,828,NOT FURNISHED,https://www.gharbazar.com/property/details/office-space-at-lazimpat-9271,,,,, KATHMANDU
425,"Rs. 1,90,00,000 (Negotiable)
(One crore ninety lakh)",0-3-0-0,2100 SQUARE FEET,,6.0,3.0,3.0,3.0,3.0, NARAYANTAR,12 FEET,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07574,3 YEARS AGO,7040,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-narayantar-7574,100M,,,, KATHMANDU
426,"Rs. 2,20,00,000 (Negotiable)
(2 crore 20 lakh)",0-3-1-1,2200 SQUARE FEET,,6.0,2.0,2.0,4.0,2.5,PEPSICOLA,20 FT,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04261,5 YEARS AGO,18763,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-pepsicola-4261,,,,, KATHMANDU
427,,0-5-0-0,,,,,,,4.0,PEPSICOLA,,SOUTH-WEST,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB03034,4 YEARS AGO,5996,SEMI FURNISHED,https://www.gharbazar.com/property/details/commercial-building-at-pepsicola-3034,,,,, KATHMANDU
