,price,LAND AREA,HOUSE AREA,Unnamed: 3,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,LOCATION,ROAD DESCRIPTION,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,url,MAIN ROAD DISTANCE,ROAD TO HOUSE,FLAT AREA,PARKING AREA,District
294,"Rs. 2,45,00,000 (Negotiable)
(Two crore forty five lakh )",0-3-0-0,,,5.0,3.0,2.0,,2.5,KADAGHARI,20 FT,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10730,1 MONTH AGO,86,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-kadaghari-10730,,10FT,,, KATHMANDU
295,"Rs. 17,50,000 (Negotiable)
(Seventeen lakh fifty thousand per aana)",0-3-3-3,,,,,,,,KHOKANA,20 FEET,WEST,LAND (RESIDENTIAL),NONE,GB06643,4 YEARS AGO,6918,,https://www.gharbazar.com/property/details/land-at-khokana-6643,20M,,,, LALITPUR
296,"Rs. 2,95,00,000 (Negotiable)
(2 crore 95 lakh)",0-5-0-0,,,5.0,1.0,1.0,4.0,2.5,TUSHAL,15 FT,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04133,5 YEARS AGO,33937,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-maharajgunj-4133,500M,,,, KATHMANDU
297,"Rs. 12,00,000 (Negotiable)
(12 lakh per aana)",0-8-0-0,,,,,,,,NEAR BP SANGRAHLAYA,10 FT,EAST,LAND (RESIDENTIAL),PILLAR SYSTEM,GB05724,5 YEARS AGO,2418,,https://www.gharbazar.com/property/details/land-at-gokarneshwor-naya-pati-5724,400M,60,,, KATHMANDU
298,"Rs. 23,00,000 (Negotiable)
(23 lakh)",,,,,,1.0,2.0,,NEAR B & B HOSPITAL,30 METER,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05413,5 YEARS AGO,2204,FULLY FURNISHED,https://www.gharbazar.com/property/details/restaurant-at-gwarko-5413,,,,, LALITPUR
299,"Rs. 2,05,00,000 (Negotiable)
(Two crore five lakh )",0-2-3-3,,,,,,,,MAHALAXMI MUNICIPALITY 5 TIKATHALI,13 FT,EAST,LAND (RESIDENTIAL),NONE,GB10567,2 MONTHS AGO,794,,https://www.gharbazar.com/property/details/house-at-tikathali-10567,50M,,,, LALITPUR
300,"Rs. 28,00,000 (Negotiable)
(Twenty eight lakh )",0-2-5-0,,,,,,,,LAZIMPAT,22FT,WEST,RESTAURANT (COMMERCIAL),PILLAR SYSTEM,GB10511,3 MONTHS AGO,326,FULLY FURNISHED,https://www.gharbazar.com/property/details/restaurant-at-lazimpat-10511,,,,, KATHMANDU
301,"Rs. 20,00,000 (Negotiable)
(Twenty lakh per anna )",7-0-0-0,,,,,,,,GODAWARI,16-20 FEET,NONE,LAND (RESIDENTIAL),NONE,GB09437,1 YEAR AGO,1990,,https://www.gharbazar.com/property/details/land-at-kitini-godawari-9437,,,,, LALITPUR
302,"Rs. 1,70,00,000 (Negotiable)
(One crore seventy lakh )",0-5-0-3,,,,,,,,POKHARA,20 FEET,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10134,6 MONTHS AGO,112,,https://www.gharbazar.com/property/details/land-at-pokhara-10134,,JUST 200 M CLOSE FROM POKHARA MOUNTAIN MUSEUM,,, KASKI
303,"Rs. 6,35,00,000 (Negotiable)
(Six crore thirty five lakh )",0-5-0-0,0-4-0-0,,5.0,2.0,1.0,6.0,2.5,SANEPA,13 FEET,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10013,4 MONTHS AGO,3073,NOT FURNISHED,https://www.gharbazar.com/property/details/luxurious-modern-bunglow-at-sanepa-lalitpur-10013,,,,, LALITPUR
